Date,Last Price,Volume,SMAVG (15)
7/28/2023,1960.4,22705,191051
7/27/2023,1945.7,194253,203822
7/26/2023,1970.1,208106,206306
7/25/2023,1963.7,188848,208828
7/24/2023,1962.2,197213,206435
7/21/2023,1966.6,156540,205334
7/20/2023,1970.9,189926,208581
7/19/2023,1980.8,159409,195933
7/18/2023,1980.8,264086,185309
7/17/2023,1956.4,165833,167708
7/14/2023,1964.4,209306,156659
7/13/2023,1963.8,241215,142721
7/12/2023,1961.7,270869,126677
7/11/2023,1937.1,189372,108632
7/10/2023,1931,208085,96016
7/7/2023,1932.5,214272,82165
7/6/2023,1915.4,231513,67894
7/5/2023,1927.1,245932,52482
7/3/2023,1929.5,152959,36101
6/30/2023,1929.4,180688,25907
6/29/2023,1917.9,205252,13890
6/28/2023,1912.3,201,216
6/27/2023,1914,49,213
6/26/2023,1923.7,71,258
6/23/2023,1919.1,105,277
6/22/2023,1912.7,237,320
6/21/2023,1933.3,557,701
6/20/2023,1935.5,193,3187
6/16/2023,1958.4,119,14243
6/15/2023,1957.8,329,31160
6/14/2023,1955.3,202,46464
6/13/2023,1944.6,343,60741
6/12/2023,1955.3,212,71769
6/9/2023,1962.2,49,87395
6/8/2023,1963.6,433,102574
6/7/2023,1942.7,139,116315
6/6/2023,1965.5,164,131635
6/5/2023,1958,713,142508
6/2/2023,1952.4,356,157160
6/1/2023,1978,750,176935
5/31/2023,1963.9,5959,194272
5/30/2023,1958,37838,207188
5/26/2023,1944.3,166036,216813
5/25/2023,1943.7,253875,224631
5/24/2023,1964.6,229885,228439
5/23/2023,1974.5,214358,228425
5/22/2023,1977.2,165768,230510
5/19/2023,1981.6,234604,230994
5/18/2023,1959.8,227733,226850
5/17/2023,1984.9,206552,225261
5/16/2023,1993,229938,211519
5/15/2023,2022.7,163251,196210
5/12/2023,2019.8,220500,185336
5/11/2023,2020.5,296976,170645
5/10/2023,2037.1,260807,150857
5/9/2023,2042.9,199701,133474
5/8/2023,2033.2,182213,120166
5/5/2023,2024.8,283299,108055
5/4/2023,2055.7,311003,89216
5/3/2023,2037,229674,68552
5/2/2023,2023.3,245637,53252
5/1/2023,1992.2,173016,36881
4/28/2023,1999.1,172445,25390
4/27/2023,1999,203898,13926
4/26/2023,1985.7,420,368
4/25/2023,1994,306,394
4/24/2023,1989.1,145,423
4/21/2023,1979.5,132,477
4/20/2023,2007.6,164,1143
4/19/2023,1995.2,61,7036
4/18/2023,2007.4,72,19271
4/17/2023,1994.2,554,33041
4/14/2023,2002.2,718,52034
4/13/2023,2041.3,1043,69469
4/12/2023,2010.9,172,85735
4/11/2023,2004.8,68,102319
4/10/2023,1989.1,652,124849
4/7/2023,2011.9,,
4/6/2023,2011.9,490,148212
4/5/2023,2020.9,525,164718
4/4/2023,2022.2,811,190380
4/3/2023,1983.9,737,207744
3/31/2023,1969,957,237851
3/30/2023,1980.3,10119,260841
3/29/2023,1966.9,88563,275398
3/28/2023,1973.5,183582,283380
3/27/2023,1953.8,206630,287689
3/24/2023,1983.8,285442,282996
3/23/2023,1995.9,262247,274564
3/22/2023,1949.6,245031,266398
3/21/2023,1941.1,248934,262234
3/20/2023,1982.8,338016,257939
3/17/2023,1973.5,351092,244100
3/16/2023,1923,248084,220702
3/15/2023,1931.3,385454,204183
3/14/2023,1910.9,261275,178505
3/13/2023,1916.5,452332,161144
3/10/2023,1867.2,345814,130991
3/9/2023,1834.6,228473,107951
3/8/2023,1818.6,208292,92744
3/7/2023,1820,248226,78902
3/6/2023,1854.6,136224,62391
3/3/2023,1854.6,158961,53311
3/2/2023,1840.5,139755,42729
3/1/2023,1845.4,182583,33427
2/28/2023,1836.7,184507,21275
2/27/2023,1824.9,130427,9003
2/24/2023,1808.8,130,374
2/23/2023,1818,291,415
2/22/2023,1832,278,548
2/21/2023,1833,862,657
2/17/2023,1840.4,35,2414
2/16/2023,1842,222,12472
2/15/2023,1834.2,368,27341
2/14/2023,1854,656,40003
2/13/2023,1851.9,569,53407
2/10/2023,1862.8,27,66042
2/9/2023,1866.2,223,77058
2/8/2023,1877.4,230,91326
2/7/2023,1871.7,297,105909
2/6/2023,1866.2,424,123780
2/3/2023,1862.9,992,140277
2/2/2023,1916.3,748,157889
2/1/2023,1927.8,2290,172656
1/31/2023,1929.5,1910,183871
1/30/2023,1922.9,27220,197380
1/27/2023,1929.4,150902,209923
1/26/2023,1930,223255,212437
1/25/2023,1942.6,190302,210777
1/24/2023,1935.4,201713,212241
1/23/2023,1928.6,190094,205960
1/20/2023,1928.2,165272,200354
1/19/2023,1923.9,214246,189341
1/18/2023,1907,218967,175062
1/17/2023,1909.9,268368,160468
1/13/2023,1921.7,247878,142604
1/12/2023,1898.8,265174,126081
1/11/2023,1878.9,222250,108406
1/10/2023,1876.5,170514,93595
1/9/2023,1877.8,204550,82241
1/6/2023,1869.7,215367,68632
1/5/2023,1840.6,188603,54346
1/4/2023,1859,198354,41786
1/3/2023,1846.1,212272,28568
12/30/2022,1826.2,107496,14425
12/29/2022,1826,105992,7306
12/28/2022,1807.9,81,268
12/27/2022,1814.8,69,270
12/23/2022,1795.9,49,380
12/22/2022,1787,411,491
12/21/2022,1815.9,35,534
12/20/2022,1815.9,51,754
12/19/2022,1787.7,79,2045
12/16/2022,1790,206,10891
12/15/2022,1777.2,421,19831
12/14/2022,1807.5,1074,30987
12/13/2022,1813.9,205,41122
12/12/2022,1780.5,85,52180
12/9/2022,1798.1,125,61330
12/8/2022,1788.7,713,72595
12/7/2022,1785.5,422,85931
12/6/2022,1769.3,105,104771
12/5/2022,1767.4,1713,117520
12/2/2022,1795.9,1725,132542
12/1/2022,1801.1,1053,152808
11/30/2022,1746,3339,168714
11/29/2022,1748.4,19416,188333
11/28/2022,1740.3,132767,199545
11/25/2022,1754,134299,210261
11/23/2022,1745.6,167770,218288
11/22/2022,1739.9,153092,221832
11/21/2022,1739.6,166082,224824
11/18/2022,1754.4,137327,222313
11/17/2022,1763,169097,226249
11/16/2022,1775.8,200755,215042
11/15/2022,1776.8,283019,201664
11/14/2022,1776.9,191347,182855
11/11/2022,1769.4,227044,170100
11/10/2022,1753.7,305717,154979
11/9/2022,1713.7,239645,134630
11/8/2022,1716,297618,118659
11/7/2022,1680.5,187589,98858
11/4/2022,1676.6,293521,86367
11/3/2022,1630.9,254699,66805
11/2/2022,1650,220926,49874
11/1/2022,1649.7,197976,35155
10/31/2022,1640.7,128413,21968
10/28/2022,1644.8,196363,13420
10/27/2022,1660.7,996,341
10/26/2022,1664,89,283
10/25/2022,1652.8,880,305
10/24/2022,1648.7,29,266
10/21/2022,1651,224,292
10/20/2022,1630.8,477,313
10/19/2022,1627.5,84,683
10/18/2022,1649,597,1898
10/17/2022,1657,238,2919
10/14/2022,1641.7,82,3900
10/13/2022,1670,729,5029
10/12/2022,1670.3,149,5408
10/11/2022,1678.7,167,6071
10/10/2022,1667.3,195,6532
10/7/2022,1700.5,179,6938
10/6/2022,1711.7,133,7650
10/5/2022,1711.4,418,8463
10/4/2022,1721.1,291,8907
10/3/2022,1692.9,410,9657
9/30/2022,1662.4,548,10011
9/29/2022,1658.5,6028,10519
9/28/2022,1660.3,18311,10456
9/27/2022,1626.5,15909,9736
9/26/2022,1623.6,14956,9180
9/23/2022,1645.3,17006,8753
9/22/2022,1671.4,6416,8369
9/21/2022,1665.8,10102,8535
9/20/2022,1661,7072,8325
9/19/2022,1667.6,6292,7859
9/16/2022,1672.8,10864,7453
9/15/2022,1666.8,12319,6740
9/14/2022,1698.2,7075,5931
9/13/2022,1707.1,11551,5493
9/12/2022,1730.8,5713,4746
9/9/2022,1718.8,8167,4369
9/8/2022,1710.6,5085,3846
9/7/2022,1718.2,7514,3508
9/6/2022,1703.4,7571,3028
9/2/2022,1713,8548,2527
9/1/2022,1699.6,11251,1970
8/31/2022,1716.9,8907,1302
8/30/2022,1726.9,6951,748
8/29/2022,1736.6,71,302
8/26/2022,1736.1,202,305
8/25/2022,1757.7,172,335
8/24/2022,1747.8,187,342
8/23/2022,1746.8,509,357
8/22/2022,1734,347,395
8/19/2022,1747.6,49,418
8/18/2022,1755.3,321,647
8/17/2022,1760.3,23,3108
8/16/2022,1773.2,308,12765
8/15/2022,1781.4,64,22569
8/12/2022,1798.6,187,33279
8/11/2022,1789.7,1235,46641
8/10/2022,1795.6,601,63151
8/9/2022,1794,249,74742
8/8/2022,1786.8,127,83510
8/5/2022,1772.9,645,94004
8/4/2022,1788.5,285,105747
8/3/2022,1758,399,123485
8/2/2022,1771.1,1078,143495
8/1/2022,1769,705,160434
7/29/2022,1762.9,3485,171848
7/28/2022,1750.3,37236,184227
7/27/2022,1719.1,144865,191828
7/26/2022,1717.7,147367,199426
7/25/2022,1719.1,160719,210293
7/22/2022,1727.4,200622,216211
7/21/2022,1713.4,248875,216762
7/20/2022,1700.2,174466,210540
7/19/2022,1710.7,131771,198921
7/18/2022,1710.2,157535,190141
7/15/2022,1703.6,176797,179643
7/14/2022,1705.8,266354,167857
7/13/2022,1735.5,300550,150108
7/12/2022,1724.8,255170,130086
7/11/2022,1731.7,171902,113086
7/8/2022,1742.3,189178,101634
7/7/2022,1739.7,151256,89030
7/6/2022,1736.5,258824,78982
7/5/2022,1763.9,310369,61735
7/1/2022,1801.5,249489,41143
6/30/2022,1807.3,208898,24521
6/29/2022,1817.5,155542,10609
6/28/2022,1817.5,177,318
6/27/2022,1820.9,77,315
6/24/2022,1826.5,61,314
6/23/2022,1825.7,9,347
6/22/2022,1834.3,115,454
6/21/2022,1834.6,216,718
6/17/2022,1835.6,170,2710
6/16/2022,1845.7,136,10922
6/15/2022,1815.3,108,23101
6/14/2022,1809.5,536,34745
6/13/2022,1828,127,45593
6/10/2022,1871.5,1490,55121
6/9/2022,1848.8,159,66705
6/8/2022,1851.9,218,76718
6/7/2022,1847.5,1168,85856
6/6/2022,1839.2,142,96411
6/3/2022,1845.4,53,108367
6/2/2022,1866.5,551,125404
6/1/2022,1843.3,1623,141604
5/31/2022,1842.7,4073,158884
5/27/2022,1851.3,30091,173200
5/26/2022,1847.6,123355,184146
5/25/2022,1846.3,182823,190482
5/24/2022,1865.4,174762,189059
5/23/2022,1847.8,163266,188570
5/20/2022,1842.1,143045,190608
5/19/2022,1841.2,175242,192880
5/18/2022,1815.9,150353,192592
5/17/2022,1818.9,137288,182597
5/16/2022,1814,159493,173465
5/13/2022,1808.2,179483,162882
5/12/2022,1824.6,255608,150928
5/11/2022,1853.7,243561,133888
5/10/2022,1841,260811,117692
5/9/2022,1858.6,218821,100313
5/6/2022,1882.8,194279,85738
5/5/2022,1875.7,218392,72793
5/4/2022,1868.8,161479,58247
5/3/2022,1870.6,167434,47498
5/2/2022,1863.6,193825,36347
4/29/2022,1911.7,177136,23435
4/28/2022,1891.3,170910,11647
4/27/2022,1885.9,439,262
4/26/2022,1901.4,302,260
4/25/2022,1893.2,748,265
4/22/2022,1931,178,283
4/21/2022,1944.9,4,512
4/20/2022,1952.3,621,1696
4/19/2022,1955.7,130,10192
4/18/2022,1982.9,196,22274
4/14/2022,1970.9,101,32121
4/13/2022,1981,204,44195
4/12/2022,1972.1,246,54402
4/11/2022,1944.3,163,64604
4/8/2022,1941.6,153,74354
4/7/2022,1933.8,311,84402
4/6/2022,1918.4,138,94370
4/5/2022,1922.9,412,107392
4/4/2022,1929.2,371,122056
4/1/2022,1919.1,1016,132845
3/31/2022,1949.2,3617,150250
3/30/2022,1933.5,17765,170226
3/29/2022,1912.2,128051,193065
3/28/2022,1939.8,181367,214372
3/25/2022,1954.2,147904,227093
3/24/2022,1962.2,181204,233335
3/23/2022,1937.3,153306,233268
3/22/2022,1921.5,153282,238246
3/21/2022,1929.5,146411,242961
3/18/2022,1929.3,150882,249818
3/17/2022,1943.2,149829,255078
3/16/2022,1909.2,195460,245099
3/15/2022,1929.7,220374,232074
3/14/2022,1960.8,162203,217393
3/11/2022,1985,262088,206583
3/10/2022,2000.4,303267,189137
3/9/2022,1988.2,360345,168921
3/8/2022,2043.3,447651,144904
3/7/2022,1995.9,372185,115066
3/4/2022,1966.6,241533,90266
3/3/2022,1935.9,180207,74188
3/2/2022,1922.3,227975,62220
3/1/2022,1943.8,223998,47029
2/28/2022,1900.7,249273,32135
2/25/2022,1887.6,229780,15555
2/24/2022,1925.1,151,268
2/23/2022,1909.2,73,370
2/22/2022,1906.1,173,380
2/18/2022,1898.6,51,484
2/17/2022,1900.7,393,2382
2/16/2022,1870.2,34,15425
2/15/2022,1854.8,86,33425
2/14/2022,1868,79,46606
2/11/2022,1840.8,181,62889
2/10/2022,1836.2,365,77894
2/9/2022,1835.2,683,93460
2/8/2022,1826.6,108,114647
2/7/2022,1820.6,601,138836
2/4/2022,1806.6,571,150459
2/3/2022,1803,466,164789
2/2/2022,1809.2,1690,177623
2/1/2022,1800.3,223,189788
1/31/2022,1795,1735,201309
1/28/2022,1784.9,28521,217122
1/27/2022,1793.1,196036,231130
1/26/2022,1829.7,270028,229617
1/25/2022,1852.5,197804,222796
1/24/2022,1841.7,244325,220829
1/21/2022,1831.8,225249,211648
1/20/2022,1842.6,233862,204193
1/19/2022,1843.2,318489,188621
1/18/2022,1812.4,362944,167399
1/14/2022,1816.5,174944,143212
1/13/2022,1821.4,215522,131562
1/12/2022,1827.3,192979,117232
1/11/2022,1818.5,184152,104405
1/10/2022,1798.8,173043,92143
1/7/2022,1797.4,238931,80651
1/6/2022,1789.2,238644,64723
1/5/2022,1825.1,173344,48833
1/4/2022,1814.6,167708,37298
1/3/2022,1800.1,168305,26131
12/31/2021,1828.6,106604,14947
12/30/2021,1814.1,113430,7870
12/29/2021,1805.1,282,401
12/28/2021,1810.2,146,402
12/27/2021,1808.1,150,418
12/23/2021,1811.2,193,454
12/22/2021,1801.6,567,545
12/21/2021,1787.9,575,583
12/20/2021,1793.7,226,871
12/17/2021,1803.8,654,2651
12/16/2021,1796.6,21,15061
12/15/2021,1762.6,283,28608
12/14/2021,1770.4,322,49346
12/13/2021,1786.3,206,72848
12/10/2021,1782.9,545,88440
12/9/2021,1774.6,455,100808
12/8/2021,1783.4,1383,112272
12/7/2021,1782.6,308,126875
12/6/2021,1777.5,381,141602
12/3/2021,1782,694,155001
12/2/2021,1760.7,1557,168642
12/1/2021,1781.6,1128,192057
11/30/2021,1773.6,4903,206942
11/29/2021,1782.3,26926,219976
11/26/2021,1785.5,186800,238156
11/24/2021,1784.3,203236,240543
11/23/2021,1783.8,311348,244156
11/22/2021,1806.3,352857,233118
11/19/2021,1851.6,234083,219150
11/18/2021,1861.4,186062,220512
11/17/2021,1870.2,172417,222833
11/16/2021,1854.1,220431,211352
11/15/2021,1866.6,221208,196681
11/12/2021,1868.5,201358,181943
11/11/2021,1863.9,205312,168554
11/10/2021,1848.3,352787,154877
11/9/2021,1830.8,224407,131366
11/8/2021,1828,200412,116409
11/5/2021,1816.8,299618,103066
11/4/2021,1793.5,222609,83150
11/3/2021,1763.9,257427,68332
11/2/2021,1789.4,145786,51180
11/1/2021,1795.8,143332,41470
10/29/2021,1783.9,254513,31923
10/28/2021,1802.6,220876,14972
10/27/2021,1797.9,207,270
10/26/2021,1792.7,359,260
10/25/2021,1806,140,242
10/22/2021,1795.5,532,261
10/21/2021,1781.2,146,373
10/20/2021,1784.1,127,430
10/19/2021,1769.7,51,864
10/18/2021,1764.8,266,1910
10/15/2021,1767.2,874,2550
10/14/2021,1796.7,337,3116
10/13/2021,1793.7,150,3802
10/12/2021,1758.3,139,4215
10/11/2021,1754.6,128,4972
10/8/2021,1756.3,254,5207
10/7/2021,1757.9,336,5744
10/6/2021,1760.5,56,6519
10/5/2021,1759.6,98,6693
10/4/2021,1766.2,417,7072
10/1/2021,1757,2220,7228
9/30/2021,1755.3,997,7276
9/29/2021,1721.5,6634,7637
9/28/2021,1735.9,15748,7455
9/27/2021,1750,9864,6996
9/24/2021,1749.7,9358,6687
9/23/2021,1747.7,10630,6293
9/22/2021,1776.7,6343,5944
9/21/2021,1776.1,11490,5865
9/20/2021,1761.8,3656,5284
9/17/2021,1749.4,8308,5041
9/16/2021,1754.6,11970,4491
9/15/2021,1792.6,2663,3747
9/14/2021,1805,5784,3571
9/13/2021,1792.3,2756,3188
9/10/2021,1789.9,2935,3020
9/9/2021,1797.8,6413,2840
9/8/2021,1791.2,3913,2430
9/7/2021,1796.3,8862,2183
9/3/2021,1831.5,5226,1607
9/2/2021,1809.4,3448,1287
9/1/2021,1813.8,5391,1107
8/31/2021,1815.8,5153,783
8/30/2021,1809.8,2783,531
8/27/2021,1816.6,10,453
8/26/2021,1792.2,61,510
8/25/2021,1788.2,812,545
8/24/2021,1805.6,22,682
8/23/2021,1803.2,32,903
8/20/2021,1781,235,990
8/19/2021,1780.2,245,1181
8/18/2021,1781.6,263,3197
8/17/2021,1785,200,17165
8/16/2021,1786.9,219,28955
8/13/2021,1775.2,436,42577
8/12/2021,1749,739,58332
8/11/2021,1750.4,542,71171
8/10/2021,1728.8,1363,85710
8/9/2021,1723.4,1621,100362
8/6/2021,1760,859,116899
8/5/2021,1805.1,588,129152
8/4/2021,1810.5,2860,140820
8/3/2021,1810.1,3341,155955
8/2/2021,1818.1,1334,171877
7/30/2021,1812.6,3100,185216
7/29/2021,1831.2,30496,197381
7/28/2021,1799.7,209783,211971
7/27/2021,1799.8,177043,209390
7/26/2021,1799.2,204547,216027
7/23/2021,1801.8,236764,216115
7/22/2021,1805.4,193318,211760
7/21/2021,1803.4,218636,210731
7/20/2021,1811.4,221136,212149
7/19/2021,1809.2,249675,197411
