Date,Last Price,Volume,SMAVG (15)
7/28/2023,1239.6,2638,2231
7/27/2023,1236.6,2804,2179
7/26/2023,1255.9,3292,2097
7/25/2023,1281.2,1869,2039
7/24/2023,1268.8,2040,2026
7/21/2023,1286.5,1554,2064
7/20/2023,1275.3,2222,2085
7/19/2023,1307.4,1989,1937
7/18/2023,1316.5,2230,1805
7/17/2023,1281.1,1540,1657
7/14/2023,1266.4,1758,1555
7/13/2023,1291.8,2051,1438
7/12/2023,1279.8,2197,1302
7/11/2023,1247.9,1782,1158
7/10/2023,1236.7,3499,1039
7/7/2023,1245.1,1851,806
7/6/2023,1239.4,1577,684
7/5/2023,1257.9,2419,580
7/3/2023,1227,1674,469
6/30/2023,1222,2615,579
6/29/2023,1227.4,1878,686
6/28/2023,1236,,
6/27/2023,1283.2,1,877
6/26/2023,1291.8,2,1236
6/23/2023,1268.1,,
6/22/2023,1261.7,,
6/21/2023,1335.5,14,1450
6/20/2023,1363.2,3,1689
6/16/2023,1401.8,,
6/15/2023,1383,,
6/14/2023,1387.9,,
6/13/2023,1344.1,,
6/12/2023,1325.9,,
6/9/2023,1289.6,7,1831
6/8/2023,1343.1,7,1969
6/7/2023,1372.7,35,2086
6/6/2023,1396.6,3,2210
6/5/2023,1395.5,6,2360
6/2/2023,1386.8,,
6/1/2023,1375.9,23,2576
5/31/2023,1340.9,16,2815
5/30/2023,1378.6,747,2982
5/26/2023,1423.5,3330,3102
5/25/2023,1415.6,4212,3055
5/24/2023,1398.1,4747,2933
5/23/2023,1446.7,5382,2790
5/22/2023,1492.2,3215,2605
5/19/2023,1523.8,3597,2506
5/18/2023,1450.2,2136,2389
5/17/2023,1484.9,2075,2381
5/16/2023,1499.6,1770,2385
5/15/2023,1530.3,1894,2450
5/12/2023,1513.8,2246,2516
5/11/2023,1554,3257,2502
5/10/2023,1605.1,3603,2402
5/9/2023,1579.7,2515,2339
5/8/2023,1563.4,2553,2448
5/5/2023,1486.8,2625,2458
5/4/2023,1441.6,2380,2420
5/3/2023,1416.8,2596,2407
5/2/2023,1421,2620,2340
5/1/2023,1446.8,1728,2281
4/28/2023,1509.9,1835,2254
4/27/2023,1492.4,2024,2250
4/26/2023,1508.4,2132,2208
