Date,Last Price,Volume,SMAVG (15)
7/31/2023,,,
7/28/2023,943.7,16779,1138
7/27/2023,937,3,153
7/26/2023,964,,
7/25/2023,967.7,7,671
7/24/2023,960.5,,
7/21/2023,963.1,,
7/20/2023,954.7,3,1612
7/19/2023,975.4,,
7/18/2023,985.2,,
7/17/2023,977.8,38,2910
7/14/2023,974,28,4301
7/13/2023,975.3,1,6487
7/12/2023,948.9,4,8404
7/11/2023,925.6,14,10658
7/10/2023,929.2,35,12076
7/7/2023,910.1,3,13681
7/6/2023,904.5,24,15095
7/5/2023,918.1,59,16544
7/3/2023,909.3,36,17967
6/30/2023,904.5,33,19244
6/29/2023,897.8,2013,20397
6/28/2023,915.3,7773,21677
6/27/2023,928.5,14118,22246
6/26/2023,928.6,19468,23075
6/23/2023,923.7,20909,22837
6/22/2023,926.5,32813,22705
6/21/2023,949,28754,22320
6/20/2023,968,33818,21844
6/16/2023,987.3,21283,20559
6/15/2023,991.9,24113,20301
6/14/2023,980,21209,20265
6/13/2023,981.9,21765,19825
6/12/2023,995.3,21396,19054
6/9/2023,1012.8,19189,18691
6/8/2023,1013.9,17335,18480
6/7/2023,1024.6,21213,18199
6/6/2023,1038.7,16300,17655
6/5/2023,1036.4,26559,17594
6/2/2023,1003.5,15896,17415
6/1/2023,1010.1,18928,17791
5/31/2023,999,27036,18050
5/30/2023,1021.9,21626,17665
5/26/2023,1028.1,14534,17311
5/25/2023,1026.3,17409,17494
5/24/2023,1029.5,23579,17527
5/23/2023,1057.6,14613,16940
5/22/2023,1077.3,10201,17238
5/19/2023,1075.7,15944,17564
5/18/2023,1058.2,16027,17403
5/17/2023,1082.6,13124,17374
5/16/2023,1066.9,13052,16499
5/15/2023,1074.7,15382,15629
5/12/2023,1067,23870,14604
5/11/2023,1105,21536,13013
5/10/2023,1119.1,22813,11577
5/9/2023,1116,21264,10057
5/8/2023,1087.7,16316,8639
5/5/2023,1068.3,17281,7552
5/4/2023,1050.3,17896,6402
5/3/2023,1061.8,14786,5209
5/2/2023,1078.3,19085,4226
5/1/2023,1064.7,15091,3013
4/28/2023,1090.1,13527,2267
4/27/2023,1093.2,15589,1913
4/26/2023,1097.1,,
4/25/2023,1089.3,,
4/24/2023,1088.8,,
4/21/2023,1129.8,,
4/20/2023,1098.7,3,1692
4/19/2023,1096.7,1,2806
4/18/2023,1087.9,1,3922
4/17/2023,1050.4,,
4/14/2023,1044.6,1,5400
4/13/2023,1056.1,5,6625
4/12/2023,1018,,
4/11/2023,995.6,2,7866
4/10/2023,993.1,,
4/7/2023,1006.9,,
4/6/2023,1006.9,3,9460
4/5/2023,997.5,13,10504
4/4/2023,1018.7,24,12060
4/3/2023,986.9,11,13779
3/31/2023,994.1,37,15851
3/30/2023,985.2,892,17562
3/29/2023,965.5,3892,19061
3/28/2023,963.4,8218,20045
3/27/2023,977.1,12284,21325
3/24/2023,983.9,16699,21993
3/23/2023,992.9,16741,22312
3/22/2023,987,22176,22225
3/21/2023,976.7,18375,22386
3/20/2023,996.8,18618,22507
3/17/2023,978.6,23920,22887
3/16/2023,977.1,15653,22854
3/15/2023,970.3,23353,23125
3/14/2023,997.3,25809,23250
3/13/2023,1004.9,31101,23631
3/10/2023,962.2,25699,22813
3/9/2023,949.3,23373,22585
