Date,Last Price,Volume,SMAVG (15)
7/28/2023,24.495,38445,2688
7/27/2023,24.236,16,131
7/26/2023,24.825,15,145
7/25/2023,24.68,65,165
7/24/2023,24.436,10,197
7/21/2023,24.698,,
7/20/2023,24.805,215,662
7/19/2023,25.219,7,2962
7/18/2023,25.084,657,6211
7/17/2023,24.844,16,10009
7/14/2023,25.014,54,13555
7/13/2023,24.768,138,17396
7/12/2023,24.119,145,22618
7/11/2023,23.086,371,29972
7/10/2023,23.151,126,34104
7/7/2023,23.092,44,40149
7/6/2023,22.686,81,44226
7/5/2023,23.197,236,49130
7/3/2023,22.896,305,52984
6/30/2023,22.81,544,57214
6/29/2023,22.591,6994,62783
6/28/2023,22.889,34711,67205
6/27/2023,22.96,48746,67843
6/26/2023,22.826,57623,67759
6/23/2023,22.354,53214,68056
6/22/2023,22.467,57666,69635
6/21/2023,22.81,78457,70907
6/20/2023,23.234,110459,70947
6/16/2023,24.126,62350,63586
6/15/2023,23.947,90801,59431
6/14/2023,24.105,61204,53378
6/13/2023,23.822,73640,49310
6/12/2023,24.059,58041,44402
6/9/2023,24.41,63767,40537
6/8/2023,24.348,84074,36294
6/7/2023,23.529,73325,30690
6/6/2023,23.67,44284,25803
6/5/2023,23.635,47487,22857
6/2/2023,23.747,62064,19693
6/1/2023,23.987,76911,15575
5/31/2023,23.587,76734,10454
5/30/2023,23.239,79064,5347
5/26/2023,23.24,40,87
5/25/2023,22.786,23,92
5/24/2023,23.115,13,98
5/23/2023,23.474,176,114
5/22/2023,23.715,27,111
5/19/2023,23.92,64,139
5/18/2023,23.495,123,204
5/17/2023,23.752,20,795
5/16/2023,23.737,9,5077
5/15/2023,24.127,96,10003
5/12/2023,23.992,26,13667
5/11/2023,24.255,298,17771
5/10/2023,25.461,92,22043
5/9/2023,25.698,130,27016
5/8/2023,25.636,175,30253
5/5/2023,25.743,113,34550
5/4/2023,26.035,110,40845
5/3/2023,25.476,256,45866
5/2/2023,25.404,127,51783
5/1/2023,25.009,452,55430
4/28/2023,24.999,1039,58598
4/27/2023,24.983,8978,61849
4/26/2023,24.876,64251,65662
4/25/2023,24.882,73904,66761
4/24/2023,25.311,55060,65820
4/21/2023,25.058,61581,66127
4/20/2023,25.373,64381,66495
4/19/2023,25.371,74679,62204
4/18/2023,25.263,48685,57228
4/17/2023,25.088,64634,53983
4/14/2023,25.46,94543,49676
4/13/2023,25.925,75419,43377
4/12/2023,25.458,89015,38350
4/11/2023,25.186,54833,32419
4/10/2023,24.912,47961,28767
4/7/2023,25.093,,
4/6/2023,25.093,49817,25571
4/5/2023,25.037,66170,22254
4/4/2023,25.101,80733,17843
4/3/2023,24.021,59787,12464
3/31/2023,24.156,59671,8479
3/30/2023,23.989,67103,4506
3/29/2023,23.376,15,37
3/28/2023,23.324,36,44
3/27/2023,23.054,,
3/24/2023,23.247,15,53
3/23/2023,23.144,,
3/22/2023,22.675,22,59
3/21/2023,22.324,58,96
3/20/2023,22.533,9,126
3/17/2023,22.351,58,626
3/16/2023,21.588,53,4214
3/15/2023,21.774,15,7743
3/14/2023,21.929,60,11140
3/13/2023,21.793,15,16930
3/10/2023,20.375,48,21458
3/9/2023,20.025,7,25208
3/8/2023,20.005,82,28908
3/7/2023,20.054,57,33824
3/6/2023,20.984,120,37054
3/3/2023,21.093,172,41596
3/2/2023,20.766,109,46117
3/1/2023,20.959,577,49908
2/28/2023,20.961,513,54675
2/27/2023,20.67,7500,59104
2/24/2023,20.81,53878,66062
2/23/2023,21.306,52988,69860
2/22/2023,21.677,50976,70683
2/21/2023,21.89,86914,71726
2/17/2023,21.715,67934,69673
2/16/2023,21.71,56289,69486
2/15/2023,21.572,55508,71438
2/14/2023,21.873,73822,71510
2/13/2023,21.852,48506,70038
2/10/2023,22.075,68256,72890
2/9/2023,22.143,67992,72132
2/8/2023,22.42,56973,72041
2/7/2023,22.177,72082,73716
2/6/2023,22.237,66943,74646
2/3/2023,22.405,111872,74171
2/2/2023,23.615,110840,71587
2/1/2023,23.609,65333,68000
1/31/2023,23.836,66626,66505
1/30/2023,23.733,56123,65253
1/27/2023,23.622,65127,65206
1/26/2023,24.02,85567,64870
1/25/2023,23.941,56584,63319
1/24/2023,23.749,51746,64211
1/23/2023,23.554,91281,63487
1/20/2023,23.935,56895,59862
1/19/2023,23.87,66630,56073
1/18/2023,23.647,82096,51640
1/17/2023,24.068,86021,46169
1/13/2023,24.372,59828,40436
1/12/2023,24.004,73105,36451
1/11/2023,23.481,57031,31579
1/10/2023,23.665,42919,27777
1/9/2023,23.871,47840,24918
1/6/2023,23.982,55419,21738
1/5/2023,23.424,60084,18060
1/4/2023,23.964,62309,14060
1/3/2023,24.236,69964,9907
12/30/2022,24.04,40886,5252
12/29/2022,24.25,36898,2551
12/28/2022,23.663,63,100
12/27/2022,24.04,133,102
12/23/2022,23.764,31,114
12/22/2022,23.476,37,150
12/21/2022,24.035,48,215
12/20/2022,24.094,22,258
12/19/2022,23.029,8,718
12/16/2022,23.151,34,4654
12/15/2022,23.128,128,8244
12/14/2022,23.946,259,11585
12/13/2022,23.801,83,15361
12/12/2022,23.22,18,18640
12/9/2022,23.535,132,21671
12/8/2022,23.063,378,26215
12/7/2022,22.71,133,30971
12/6/2022,22.123,79,37264
12/5/2022,22.199,319,41468
12/2/2022,23.038,578,46638
12/1/2022,22.637,1001,52794
11/30/2022,21.55,693,58098
11/29/2022,21.204,6934,64448
11/28/2022,20.915,59036,69079
11/25/2022,21.43,53887,72617
11/23/2022,21.367,50248,73773
11/22/2022,21.049,56889,74639
11/21/2022,20.872,49274,76139
11/18/2022,20.997,45477,75297
11/17/2022,20.975,68303,75722
11/16/2022,21.524,71716,75036
11/15/2022,21.518,94519,73963
11/14/2022,22.113,63151,71291
11/11/2022,21.667,77857,71172
11/10/2022,21.702,92918,71653
11/9/2022,21.327,80561,69310
11/8/2022,21.502,95945,66369
11/7/2022,20.919,76411,62627
11/4/2022,20.784,112097,61012
11/3/2022,19.43,71233,58179
11/2/2022,19.594,63230,58317
11/1/2022,19.667,79392,57916
10/31/2022,19.119,36651,56650
10/28/2022,19.147,51840,58153
10/27/2022,19.494,58012,58739
10/26/2022,19.486,55631,58155
10/25/2022,19.349,54442,59783
10/24/2022,19.189,61360,61049
10/21/2022,19.066,85071,63536
10/20/2022,18.689,57776,61455
10/19/2022,18.359,36441,61553
10/18/2022,18.6,39817,59126
10/17/2022,18.719,52185,56474
10/14/2022,18.071,69608,53001
10/13/2022,18.918,73297,48363
10/12/2022,18.938,57220,43495
10/11/2022,19.487,60401,39689
10/10/2022,19.615,59200,35665
10/7/2022,20.255,60627,31719
10/6/2022,20.66,49255,27681
10/5/2022,20.544,80040,24401
10/4/2022,21.099,73441,19068
10/3/2022,20.589,98657,14174
9/30/2022,19.039,53857,7609
9/29/2022,18.712,59252,4022
9/28/2022,18.796,29,83
9/27/2022,18.257,36,85
9/26/2022,18.406,94,90
9/23/2022,18.841,36,103
9/22/2022,19.548,278,116
9/21/2022,19.411,136,138
9/20/2022,19.102,39,519
9/19/2022,19.273,2,2742
9/16/2022,19.296,56,6323
9/15/2022,19.175,62,9407
9/14/2022,19.471,47,12257
9/13/2022,19.39,28,15739
9/12/2022,19.755,183,19439
9/9/2022,18.658,46,23131
9/8/2022,18.33,177,26206
9/7/2022,18.137,60,29499
9/6/2022,17.795,100,32289
9/2/2022,17.776,289,35955
9/1/2022,17.551,230,39042
8/31/2022,17.762,618,42796
8/30/2022,18.159,5841,47089
8/29/2022,18.557,33392,50289
8/26/2022,18.746,53716,52601
8/25/2022,19.12,46313,53162
8/24/2022,18.907,42817,53395
8/23/2022,19.026,52280,53692
8/22/2022,18.878,55519,54509
8/19/2022,19.069,55574,54710
8/18/2022,19.464,46162,55311
8/17/2022,19.731,49570,58001
8/16/2022,20.085,41920,54697
8/15/2022,20.272,55089,51912
8/12/2022,20.698,46590,48266
8/11/2022,20.349,56532,45169
8/10/2022,20.742,65018,41409
8/9/2022,20.482,53846,37095
8/8/2022,20.614,68066,33512
8/5/2022,19.842,62128,28975
8/4/2022,20.122,49819,24848
8/3/2022,19.894,47270,21552
8/2/2022,20.139,64539,18418
8/1/2022,20.362,58521,14130
7/29/2022,20.197,64588,10231
7/28/2022,19.868,86522,5932
7/27/2022,18.553,8,170
7/26/2022,18.487,148,180
7/25/2022,18.294,399,184
7/22/2022,18.585,125,200
7/21/2022,18.687,144,234
7/20/2022,18.639,305,604
7/19/2022,18.67,101,3384
7/18/2022,18.791,15,6583
7/15/2022,18.548,218,11418
7/14/2022,18.169,382,16200
7/13/2022,19.138,261,19902
7/12/2022,18.899,214,24217
7/11/2022,19.067,33,27130
7/8/2022,19.167,99,30616
7/7/2022,19.122,103,35311
7/6/2022,19.085,159,39252
7/5/2022,19.052,205,45172
7/1/2022,19.597,630,50410
6/30/2022,20.282,643,54610
6/29/2022,20.668,5690,57563
6/28/2022,20.806,42010,60613
6/27/2022,21.168,48086,61023
6/24/2022,21.125,72540,60315
6/23/2022,21.042,71938,57875
6/22/2022,21.421,55917,56489
6/21/2022,21.768,64993,57292
6/17/2022,21.587,43902,55519
6/16/2022,21.885,52318,52594
6/15/2022,21.42,70536,49113
