Date,Last Price
7/21/2023,959.7
7/20/2023,959.96
7/19/2023,975.99
7/18/2023,986.4
7/17/2023,979.93
7/14/2023,976.24
7/13/2023,977.06
7/12/2023,954.5
7/11/2023,928.85
7/10/2023,931.49
7/7/2023,913.87
7/6/2023,906.14
7/5/2023,920.07
7/4/2023,919.74
7/3/2023,914.06
6/30/2023,906.3
6/29/2023,898.96
6/28/2023,915.04
6/27/2023,926.96
6/26/2023,927.95
6/23/2023,921.7
6/22/2023,925.28
6/21/2023,946.06
6/20/2023,964.4
6/19/2023,978.69
6/16/2023,986.84
6/15/2023,992.09
6/14/2023,981.14
6/13/2023,981.13
6/12/2023,995.21
6/9/2023,1011.7
6/8/2023,1014.72
6/7/2023,1021.91
6/6/2023,1037.47
6/5/2023,1032.78
6/2/2023,1007.95
6/1/2023,1009.71
5/31/2023,998.42
5/30/2023,1024.31
5/29/2023,1028.65
5/26/2023,1026.37
5/25/2023,1025.52
5/24/2023,1028
5/23/2023,1056.08
5/22/2023,1070.42
5/19/2023,1066.59
5/18/2023,1056.29
5/17/2023,1073.99
5/16/2023,1063.72
5/15/2023,1066.98
5/12/2023,1053.04
5/11/2023,1096.93
5/10/2023,1118.46
5/9/2023,1108.79
5/8/2023,1075.56
5/5/2023,1062.52
5/4/2023,1047.97
5/3/2023,1057.94
5/2/2023,1066.69
5/1/2023,1055.77
4/28/2023,1078.31
4/27/2023,1083.99
4/26/2023,1091
4/25/2023,1092.28
4/24/2023,1089.84
4/21/2023,1127.2
4/20/2023,1096.76
4/19/2023,1092.61
4/18/2023,1083.04
4/17/2023,1052.05
4/14/2023,1048.7
4/13/2023,1052.26
4/12/2023,1020.41
4/11/2023,998.27
4/10/2023,997.32
4/7/2023,1011.8
4/6/2023,1011.9
4/5/2023,1003.3
4/4/2023,1021.58
4/3/2023,992.16
3/31/2023,995.21
3/30/2023,990.87
3/29/2023,971.09
3/28/2023,967.78
3/27/2023,978.04
3/24/2023,984.3
3/23/2023,989.55
3/22/2023,986.74
3/21/2023,974.78
3/20/2023,992.86
3/17/2023,978.94
3/16/2023,976.53
3/15/2023,964.77
3/14/2023,987.11
3/13/2023,1002.48
3/10/2023,964.88
3/9/2023,948.48
3/8/2023,940.22
3/7/2023,935.13
3/6/2023,979.3
3/3/2023,982.66
3/2/2023,964.67
3/1/2023,959.38
2/28/2023,956.03
2/27/2023,942.71
2/24/2023,913.03
2/23/2023,951.18
2/22/2023,953.59
2/21/2023,946.88
2/20/2023,929.08
2/17/2023,921.21
2/16/2023,922.36
2/15/2023,917.38
2/14/2023,935.09
2/13/2023,958.15
2/10/2023,949.55
2/9/2023,958.55
2/8/2023,974.39
2/7/2023,978.2
2/6/2023,975.01
2/3/2023,976.78
2/2/2023,1025.09
2/1/2023,1008.28
1/31/2023,1014.49
1/30/2023,1013.68
1/27/2023,1015.74
1/26/2023,1021.69
1/25/2023,1042.25
1/24/2023,1060.55
1/23/2023,1051.09
1/20/2023,1045.88
1/19/2023,1036.29
1/18/2023,1041.81
1/17/2023,1043.51
1/16/2023,1066.37
1/13/2023,1069.21
1/12/2023,1070.99
1/11/2023,1072.84
1/10/2023,1082.74
1/9/2023,1081.23
1/6/2023,1094.33
1/5/2023,1062.32
1/4/2023,1081.88
1/3/2023,1087.23
12/30/2022,1074.29
12/29/2022,1057.61
12/28/2022,1011.26
12/27/2022,1023.81
12/23/2022,1027.01
12/22/2022,983.04
12/21/2022,1001.97
12/20/2022,1012.13
12/19/2022,984.36
12/16/2022,994.53
12/15/2022,1009.05
12/14/2022,1032.17
12/13/2022,1035.27
12/12/2022,1004.16
12/9/2022,1027.58
12/8/2022,1008.02
12/7/2022,1006.7
12/6/2022,991.43
12/5/2022,1002.46
12/2/2022,1019.11
12/1/2022,1044.9
11/30/2022,1037.22
11/29/2022,1005.17
11/28/2022,992.82
11/25/2022,983.56
11/24/2022,991.4
11/23/2022,1000.67
11/22/2022,995.24
11/21/2022,984.93
11/18/2022,981.87
11/17/2022,985.25
11/16/2022,1009.24
11/15/2022,1018.4
11/14/2022,1022.48
11/11/2022,1033.07
11/10/2022,1036.21
11/9/2022,989.85
11/8/2022,1002.13
11/7/2022,985.54
11/4/2022,964.16
11/3/2022,922.79
11/2/2022,937.66
11/1/2022,948.4
10/31/2022,930.64
10/28/2022,947.97
10/27/2022,961.99
10/26/2022,955.51
10/25/2022,919.13
10/24/2022,928.08
10/21/2022,934.83
10/20/2022,916.25
10/19/2022,887.34
10/18/2022,912
10/17/2022,917.25
10/14/2022,903.06
10/13/2022,903.25
10/12/2022,887.63
10/11/2022,891.92
10/10/2022,902
10/7/2022,916.82
10/6/2022,924.76
10/5/2022,919.92
10/4/2022,934.75
10/3/2022,903.29
9/30/2022,864.03
9/29/2022,867.32
9/28/2022,866.45
9/27/2022,850.88
9/26/2022,851.84
9/23/2022,859.64
9/22/2022,903.51
9/21/2022,910.89
9/20/2022,924.42
9/19/2022,922.41
9/16/2022,909.66
9/15/2022,907.95
9/14/2022,910.06
9/13/2022,884.32
9/12/2022,909.67
9/9/2022,884.19
9/8/2022,882.5
9/7/2022,872.15
9/6/2022,856.17
9/5/2022,850.05
9/2/2022,839.05
9/1/2022,830.75
8/31/2022,848.94
8/30/2022,851.4
8/29/2022,867.23
8/26/2022,866.96
8/25/2022,887.26
8/24/2022,880.14
8/23/2022,884.83
8/22/2022,878.45
8/19/2022,899.21
8/18/2022,914.56
8/17/2022,927.59
8/16/2022,938.16
8/15/2022,936.44
8/12/2022,965.33
8/11/2022,959.79
8/10/2022,944.58
8/9/2022,936.81
8/8/2022,944.05
8/5/2022,936.26
8/4/2022,931.23
8/3/2022,902.28
8/2/2022,898.34
8/1/2022,910.07
7/29/2022,899.36
7/28/2022,891.22
7/27/2022,890.05
7/26/2022,876.5
7/25/2022,883.03
7/22/2022,876.84
7/21/2022,877.07
7/20/2022,861.23
7/19/2022,878.2
7/18/2022,867.45
7/15/2022,851.31
7/14/2022,846.43
7/13/2022,857.9
7/12/2022,847.41
7/11/2022,873.43
7/8/2022,894.76
7/7/2022,877.2
7/6/2022,859.53
7/5/2022,868.74
7/4/2022,890.49
7/1/2022,892.73
6/30/2022,896.71
6/29/2022,919.18
6/28/2022,914.21
6/27/2022,911.4
6/24/2022,911.08
6/23/2022,910.28
6/22/2022,930.44
6/21/2022,942.5
6/20/2022,935.7
6/17/2022,933.97
6/16/2022,955.34
6/15/2022,943.16
6/14/2022,924.98
6/13/2022,935.32
6/10/2022,977.5
6/9/2022,975.09
6/8/2022,1009.21
6/7/2022,1014.39
