Date,Last Price,Volume,SMAVG (15)
7/21/2023,19075.26,1637013120,2222672384
7/20/2023,18928.02,1807926400,2226228224
7/19/2023,18952.31,1982969600,2217379584
7/18/2023,19015.72,2591229696,2222484224
7/14/2023,19413.78,2460070656,2187472384
7/13/2023,19350.62,2729756416,2136088448
7/12/2023,18860.95,1818311808,2087145728
7/11/2023,18659.83,2114932480,2107369728
7/10/2023,18479.72,1953461504,2093444608
7/7/2023,18365.7,2463266048,2202038272
7/6/2023,18533.05,3277132288,2214985984
7/5/2023,19110.38,2432611072,2162018048
7/4/2023,19415.68,1987401216,2164263424
7/3/2023,19306.59,2214447360,2144316160
6/30/2023,18916.43,1869555200,2130220544
6/29/2023,18934.36,1690353408,2153057024
6/28/2023,19172.05,1675196416,2184104192
6/27/2023,19148.13,2059536256,2223333632
6/26/2023,18794.13,2066052224,2225790720
6/23/2023,18889.97,1689313408,2336822528
6/21/2023,19218.35,1995615872,2399052544
6/20/2023,19607.08,2121671936,2557539840
6/19/2023,19912.89,1906054272,2565760256
6/16/2023,20040.37,3582368768,2585129728
6/15/2023,19828.92,2657480192,2532467712
6/14/2023,19408.42,2482612736,2520413440
6/13/2023,19521.42,2466291712,2480808448
6/12/2023,19404.31,1688193152,2428251648
6/9/2023,19389.95,2003013376,2445520896
6/8/2023,19299.18,2212103168,2451679488
6/7/2023,19252,2156059136,2454741504
6/6/2023,19099.28,2263636480,2425730560
6/5/2023,19108.5,2096394496,2446826496
6/2/2023,18949.94,3731527936,2459345408
6/1/2023,18216.91,2622765056,2358163200
5/31/2023,18234.27,4372923904,2368613376
5/30/2023,18595.78,2244979968,2346279680
5/29/2023,18551.11,2196594688,2482487552
5/25/2023,18746.92,2792438784,2557464320
5/24/2023,19115.93,2476667136,2585054464
5/23/2023,19431.25,1888538624,2517320448
5/22/2023,19678.17,1677939584,2488711936
5/19/2023,19450.57,1947230848,2548506368
5/18/2023,19727.25,2095394176,2562054656
5/17/2023,19560.57,2258030592,2551764480
5/16/2023,19978.25,1720897664,2547647488
5/15/2023,19971.13,2580074496,2582780928
5/12/2023,19627.24,2284178944,2577057536
5/11/2023,19743.79,2213792256,2561257728
5/10/2023,19762.2,2779518720,2559255040
5/9/2023,19867.58,4037919488,2530597632
5/8/2023,20297.03,4288098816,2488818432
5/5/2023,20049.31,3321243136,2342029312
5/4/2023,19948.73,3206294272,2275928320
5/3/2023,19699.16,1460653568,2218970624
5/2/2023,19933.81,1459412864,2325875712
4/28/2023,19894.57,2574855424,2371463936
4/27/2023,19840.28,2150454016,2360825856
4/26/2023,19757.27,1941042688,2394205696
4/25/2023,19617.88,2196274432,2467801600
4/24/2023,19959.94,2247901952,2520182272
4/21/2023,20075.73,2494223872,2543484160
4/20/2023,20396.97,2047181568,2506208768
4/19/2023,20367.76,2183749632,2536637184
4/18/2023,20650.51,2349659136,2544846848
4/17/2023,20782.45,3411232512,2556950272
4/14/2023,20438.81,2086262144,2487143680
4/13/2023,20344.48,2329727488,2476705280
4/12/2023,20309.86,2351926784,2510659584
4/11/2023,20485.24,3064229888,2642682880
4/6/2023,20331.2,2143238656,2641560576
4/4/2023,20274.59,2415282688,2674272000
4/3/2023,20409.18,2651152384,2715079424
3/31/2023,20400.11,3044982784,2747251968
3/30/2023,20309.13,2981984512,2783452416
3/29/2023,20192.4,2597427456,2730876160
3/28/2023,19784.65,1935094144,2733950464
