Date,Last Price,Volume,SMAVG (15)
7/21/2023,15522.37,0,237935696
7/20/2023,15466.09,333924064,253027696
7/19/2023,15826.35,270464000,247284704
7/18/2023,15841.35,258814752,247232256
7/17/2023,15713.28,237196608,247741408
7/14/2023,15565.6,257130144,259985664
7/13/2023,15571.98,242723344,258495856
7/12/2023,15307.23,287845600,262926368
7/11/2023,15119.06,235076416,262815712
7/10/2023,15045.64,271167520,298567968
7/7/2023,15036.85,240089632,301908768
7/6/2023,15089.45,242671216,306516416
7/5/2023,15203.78,223644928,308716704
7/3/2023,15208.69,150545136,312748992
6/30/2023,15179.21,317742144,319933696
6/29/2023,14939.95,226380032,315764480
6/28/2023,14964.57,247779072,322989408
6/27/2023,14945.91,269677216,323088512
6/26/2023,14689.02,266452080,322062464
6/23/2023,14891.48,420860512,322565344
6/22/2023,15042.32,234782992,315496352
6/21/2023,14867.45,309181056,340886912
6/20/2023,15070.15,286185760,340792512
6/16/2023,15083.92,771360384,345319040
6/15/2023,15185.48,321279264,316779072
6/14/2023,15005.69,309204512,311444384
6/13/2023,14900.85,275675456,306956320
6/12/2023,14784.3,284129472,303752032
6/9/2023,14528.36,258315552,302581600
6/8/2023,14484.54,255203968,303849696
6/7/2023,14303.29,334753792,303818528
6/6/2023,14558.09,249265600,295524288
6/5/2023,14556.5,254286384,292275104
6/2/2023,14546.64,273995648,290223584
6/1/2023,14441.51,314825344,288352128
5/31/2023,14254.09,615641600,286445920
5/30/2023,14354.99,307765024,260909056
5/26/2023,14298.41,354083840,254540416
5/25/2023,13938.53,343260448,248607568
5/24/2023,13604.48,241259056,242135664
5/23/2023,13672.54,241883840,243241536
5/22/2023,13849.74,227610896,243749440
5/19/2023,13803.49,266572992,242690288
5/18/2023,13834.62,277336800,244972656
5/17/2023,13589.26,254736864,247914976
5/16/2023,13426.01,210340112,250439648
5/15/2023,13413.51,200527584,254011264
5/12/2023,13340.18,223513856,253915376
5/11/2023,13389.78,245923824,254789104
5/10/2023,13347.83,286232160,255840240
5/9/2023,13201.11,232588432,249955376
5/8/2023,13291.64,212235584,247688048
5/5/2023,13259.13,265091072,246930432
5/4/2023,12982.48,246181952,243089888
5/3/2023,13030.21,257847040,242080080
5/2/2023,13113.66,249502384,240667440
5/1/2023,13231.47,211723680,237782912
4/28/2023,13245.99,300808512,236831328
4/27/2023,13160.03,321471584,232087376
4/26/2023,12806.48,292607008,227145504
4/25/2023,12725.11,263914336,222822240
4/24/2023,12969.76,199089216,221718864
4/21/2023,13000.77,236619744,229637552
4/20/2023,12985.98,261690864,228714400
4/19/2023,13088.71,197959168,229247088
4/18/2023,13091.79,198578496,229627104
4/17/2023,13087.71,200871328,231391760
4/14/2023,13079.52,207483120,235384464
4/13/2023,13109.39,231034752,241375648
4/12/2023,12848.35,236657424,244598608
4/11/2023,12964.16,206234496,249001648
4/10/2023,13051.23,197449936,254674384
4/6/2023,13062.6,229649152,289229984
4/5/2023,12967.2,247343424,296883136
4/4/2023,13100.07,227758224,303301536
4/3/2023,13148.35,247363584,309754784
3/31/2023,13181.35,317869472,316676000
3/30/2023,12963.14,222772608,316075360
3/29/2023,12846.03,269681248,319643296
3/28/2023,12610.57,203659200,317292320
3/27/2023,12673.07,225048480,321053344
3/24/2023,12767.05,260761936,322052192
3/23/2023,12729.23,297350720,323279264
3/22/2023,12567.15,279379264,319828960
3/21/2023,12741.44,302703072,317841344
3/20/2023,12562.61,291325504,318791104
3/17/2023,12519.88,715783936,314451872
3/16/2023,12581.39,344446368,284304288
3/15/2023,12251.32,343619488,280349760
3/14/2023,12199.79,324556832,275163648
3/13/2023,11923.17,351181952,272998720
3/10/2023,11830.28,308859648,267298624
3/9/2023,11995.88,276291616,266380064
3/8/2023,12215.33,234416736,264569888
3/7/2023,12152.17,260074544,267255456
3/6/2023,12302.48,240031232,266996752
3/3/2023,12290.81,279167840,268806304
3/2/2023,12044.87,245596464,270939488
3/1/2023,11938.57,249564896,275043456
2/28/2023,12042.12,316949536,279744000
2/27/2023,12057.79,226237200,275445856
2/24/2023,11969.65,263569904,283298656
2/23/2023,12180.14,285128736,292964800
2/22/2023,12066.27,265827632,297335616
2/21/2023,12060.3,292082880,300760704
2/17/2023,12358.18,265680608,299885120
2/16/2023,12442.48,295081152,305158048
2/15/2023,12687.89,249138880,303520032
2/14/2023,12590.89,274700224,304200960
2/13/2023,12502.31,256194192,300653696
2/10/2023,12304.92,267174384,302901728
2/9/2023,12381.17,311165472,308034432
2/8/2023,12495.38,307156288,304636672
2/7/2023,12728.27,320072704,302209344
2/6/2023,12464.51,252477536,298351808
2/3/2023,12573.36,344029344,296819744
2/2/2023,12803.14,408562080,291556672
2/1/2023,12363.1,350690944,282944032
1/31/2023,12101.93,317204032,275016960
1/30/2023,11912.39,278949152,272154432
1/27/2023,12166.6,344774368,274614880
1/26/2023,12051.48,270510688,270306016
1/25/2023,11814.69,259353136,271767424
1/24/2023,11846.64,221491232,274112064
1/23/2023,11872.54,289914368,274326688
1/20/2023,11619.03,344165088,270339584
1/19/2023,11295.67,260198912,261501632
1/18/2023,11410.29,270746720,258906096
1/17/2023,11557.19,262209408,253650880
1/13/2023,11541.48,229496816,256589184
1/12/2023,11459.61,265082992,257181264
1/11/2023,11402.52,279372576,257166784
1/10/2023,11205.78,231785120,257648176
1/9/2023,11108.45,274265760,299647936
1/6/2023,11040.35,315856160,303087488
1/5/2023,10741.22,280141376,301771456
1/4/2023,10914.8,292431616,306418688
1/3/2023,10862.64,294522656,303323200
12/30/2022,10939.76,224710672,299953056
12/29/2022,10951.05,230108032,300880256
12/28/2022,10679.34,211595680,300757888
12/27/2022,10822.51,221265936,302248256
12/23/2022,10985.45,191918320,302770400
12/22/2022,10956.14,306284096,305651168
12/21/2022,11235.88,238377984,302404768
12/20/2022,11072.42,264865680,319623808
12/19/2022,11084.59,286593536,315110816
12/16/2022,11243.72,861781760,311931488
12/15/2022,11345.22,325858592,261243248
12/14/2022,11740.92,296115808,251569904
12/13/2022,11834.21,349849920,246349392
12/12/2022,11706.44,245999520,237718928
12/9/2022,11563.33,243970512,237829344
12/8/2022,11637.5,238618624,237232400
12/7/2022,11497.39,228272128,238251920
12/6/2022,11549.69,233951264,242446096
12/5/2022,11786.8,229098064,245021696
12/2/2022,11994.26,235129904,250992400
12/1/2022,12041.89,257588192,265460800
11/30/2022,12030.06,496663552,268053200
11/29/2022,11503.45,197171008,252522304
11/28/2022,11587.75,238903376,257140208
11/25/2022,11756.03,101458280,264753072
11/23/2022,11838.72,180758496,278883328
11/22/2022,11724.84,217808016,289683904
11/21/2022,11553.45,220392880,292452160
11/18/2022,11677.02,247655744,298043136
11/17/2022,11676.86,235016480,305273984
11/16/2022,11699.09,253911488,312609984
11/15/2022,11871.15,291184640,317892256
11/14/2022,11700.94,272585248,316959392
11/11/2022,11817.01,318658688,317520320
11/10/2022,11605.96,452156032,317887616
11/9/2022,10797.55,296474144,303853152
11/8/2022,11059.5,263700080,299048544
11/7/2022,10977,266439616,297926048
11/4/2022,10857.03,353096160,299740896
11/3/2022,10690.6,313412256,296176864
11/2/2022,10906.34,342767008,298967936
11/1/2022,11288.95,259332032,291781632
10/31/2022,11405.57,304257344,293554336
10/28/2022,11546.21,356118592,289790624
10/27/2022,11191.63,345056384,287751040
10/26/2022,11405.9,333145408,279714048
10/25/2022,11669.99,277191968,272212352
10/24/2022,11430.26,280999328,272599968
10/21/2022,11310.33,324167744,273281120
10/20/2022,11046.71,241639008,273851424
10/19/2022,11103.38,224405184,276836128
10/18/2022,11147.74,246862576,280972768
10/17/2022,11062.53,293662336,281263392
10/14/2022,10692.06,299635872,278950688
10/13/2022,11033.58,355278016,277335456
10/12/2022,10785.62,234972640,270628576
10/11/2022,10791.35,285922688,272555328
10/10/2022,10926.97,247801808,268433040
10/7/2022,11039.47,325524832,267355184
10/6/2022,11485.5,224501168,294232768
10/5/2022,11573.18,220620128,298103104
10/4/2022,11582.54,283006336,301622496
10/3/2022,11229.73,291216288,306892672
9/30/2022,10971.22,332722656,302555904
9/29/2022,11164.78,286409440,295618720
9/28/2022,11493.83,286454592,291943456
9/27/2022,11271.75,251222096,288680064
9/26/2022,11254.11,258971744,288243264
9/23/2022,11311.24,275407584,287592512
9/22/2022,11501.65,254674416,287741152
9/21/2022,11637.79,263873936,291830304
9/20/2022,11851.54,224088656,289742560
9/19/2022,11953.27,231634000,289463168
9/16/2022,11861.38,728688512,294610272
9/15/2022,11927.49,282556128,259972640
9/14/2022,12134.4,273411200,253105840
9/13/2022,12033.62,362058880,246844816
9/12/2022,12739.72,226164768,237554272
9/9/2022,12588.29,228664688,239072400
9/8/2022,12321.19,231280752,236482992
9/7/2022,12259.39,237503712,234225936
9/6/2022,12011.31,244669936,230421856
9/2/2022,12098.44,249210496,225204928
9/1/2022,12274.63,277637056,222545936
8/31/2022,12272.03,316011776,217281824
8/30/2022,12342.7,232557808,213274640
8/29/2022,12484.32,219897824,212105600
8/26/2022,12605.17,308840352,210955792
8/25/2022,13143.58,209124208,204710128
8/24/2022,12917.86,179554096,205563280
8/23/2022,12881.79,179495936,212595776
8/22/2022,12890.54,222700672,214996208
8/19/2022,13242.9,248936704,215251296
8/18/2022,13505.99,189823456,221338192
8/17/2022,13470.86,197425056,225913392
8/16/2022,13635.21,180442368,233089680
8/15/2022,13667.18,166416048,236476528
8/12/2022,13565.87,209325792,238074624
8/11/2022,13291.99,198675248,239867632
8/10/2022,13378.32,255904080,241457968
8/9/2022,13008.17,215022128,240393296
8/8/2022,13159.16,202650688,243889312
8/5/2022,13207.69,215155408,245800704
8/4/2022,13311.04,221921440,249062848
8/3/2022,13253.26,285041728,247928032
8/2/2022,12901.6,215502336,242538608
8/1/2022,12940.78,226527072,242106784
7/29/2022,12947.97,340240096,240274288
7/28/2022,12717.87,258451392,229288976
7/27/2022,12601.47,305069440,227015056
7/26/2022,12086.9,231244992,220386672
7/25/2022,12328.41,190387504,221428128
7/22/2022,12396.47,236220976,223655888
7/21/2022,12619.41,222530256,227458656
7/20/2022,12439.68,239934016,225382416
7/19/2022,12249.42,267462336,225710288
7/18/2022,11877.5,231321680,222443552
7/15/2022,11983.62,264087456,235571872
7/14/2022,11768.4,204899264,233415568
7/13/2022,11728.53,204200208,235788496
7/12/2022,11744.99,209025072,240687456
7/11/2022,11860.28,199039600,270009856
7/8/2022,12125.69,175460384,278529216
7/7/2022,12109.05,224342560,285875968
7/6/2022,11852.59,205643760,286935808
7/5/2022,11779.9,246866944,295977248
7/1/2022,11585.68,223803888,298393024
6/30/2022,11503.72,293262528,298468032
6/29/2022,11658.26,191386464,292022304
6/28/2022,11637.77,244852192,292055744
6/27/2022,12008.24,218461280,289062464
6/24/2022,12105.85,428246560,289098336
6/23/2022,11697.68,231742768,276421792
6/22/2022,11527.71,240493232,274787904
6/21/2022,11546.76,277684608,286672320
6/17/2022,11265.99,648860864,284688224
6/16/2022,11127.57,326830240,258314800
6/15/2022,11593.77,285661440,251671264
6/14/2022,11311.69,240240128,248109248
6/13/2022,11288.32,341265600,247079744
6/10/2022,11832.82,283103776,245053504
6/9/2022,12269.78,224928704,244579216
6/8/2022,12615.13,196576560,248311744
6/7/2022,12711.68,191888352,250847008
6/6/2022,12599.63,199952720,251284176
6/3/2022,12548.03,218999680,255900144
6/2/2022,12892.89,238098128,262968064
6/1/2022,12548.36,207234288,267189232
5/31/2022,12642.1,418759840,273599488
5/27/2022,12681.42,247923008,267060576
5/26/2022,12276.79,253259504,268892448
5/25/2022,11943.93,227177152,273850912
5/24/2022,11769.84,232231328,277852096
5/23/2022,12034.28,224797616,276340992
5/20/2022,11835.62,310871968,278930432
5/19/2022,11875.63,275989472,279508736
5/18/2022,11928.31,280916512,280014048
5/17/2022,12564.1,234605584,278449792
5/16/2022,12243.58,198445728,280425024
5/13/2022,12387.4,269192384,283728160
5/12/2022,11945.5,325018496,282315072
5/11/2022,11967.56,301415648,276100096
5/10/2022,12345.86,303387840,270525248
5/9/2022,12187.72,320676480,262801696
5/6/2022,12693.54,275401152,252910384
5/5/2022,12850.55,327636352,249426144
5/4/2022,13535.71,287194816,240232864
5/3/2022,13089.9,209564864,234023104
5/2/2022,13075.85,263639008,234169040
4/29/2022,12854.8,319546592,228943536
4/28/2022,13456.06,283569248,220798768
4/27/2022,13003.36,257452576,217949520
4/26/2022,13009.71,264234096,214759744
4/25/2022,13533.22,247993040,210883904
4/22/2022,13356.87,247995760,208709456
4/21/2022,13720.45,231794208,210993728
4/20/2022,13998.53,217792576,209319056
4/19/2022,14210.26,187534720,209510208
4/18/2022,13910.76,172306736,209929616
4/14/2022,13893.21,223137568,210885168
4/13/2022,14217.29,189737200,210771888
4/12/2022,13940.24,194048464,213262800
4/11/2022,13990.21,211753744,215994768
4/8/2022,14327.26,185256512,218294528
4/7/2022,14531.81,197375184,243728896
4/6/2022,14498.88,240830448,246047456
4/5/2022,14820.64,209605952,252246128
4/4/2022,15159.58,206096352,257464672
4/1/2022,14861.21,215376304,261941488
3/31/2022,14838.49,282259936,263486352
3/30/2022,15071.55,206674176,260288912
3/29/2022,15239.32,220659936,263960992
3/28/2022,14987.4,193825760,269853056
3/25/2022,14754.31,186640064,277261024
3/24/2022,14765.69,221438208,281138016
3/23/2022,14447.55,227101024,281794432
3/22/2022,14654.33,235027872,282231456
3/21/2022,14376.09,246250112,284099328
3/18/2022,14420.08,566772224,288309376
3/17/2022,14118.6,232153488,266650112
3/16/2022,13956.79,333810624,276339968
3/15/2022,13458.56,287884096,271211968
3/14/2022,13046.64,273248416,269252960
3/11/2022,13301.83,238549408,268789344
3/10/2022,13591,234298384,267979488
3/9/2022,13742.2,261755344,265382320
3/8/2022,13267.61,309040672,262753264
3/7/2022,13319.38,304945312,258787504
3/4/2022,13837.83,244794960,257794896
3/3/2022,14035.21,231284736,258757920
3/2/2022,14243.69,233656352,258035520
3/1/2022,14005.99,263045600,256574736
2/28/2022,14237.81,309400928,252600320
2/25/2022,14189.16,241883376,247891888
2/24/2022,13974.67,377501376,252468784
2/23/2022,13509.43,256890560,247234240
2/22/2022,13870.53,258499200,245788832
2/18/2022,14009.54,266293968,249327328
2/17/2022,14171.74,226401616,251082512
2/16/2022,14603.64,195340832,255491040
2/15/2022,14620.82,222319360,263225184
2/14/2022,14268.59,249554352,267388880
2/11/2022,14253.84,290056288,278345024
2/10/2022,14705.64,259240176,284905056
2/9/2022,15056.96,220448912,284132544
2/8/2022,14747.03,211744400,284697728
2/7/2022,14571.25,203429440,289553440
2/4/2022,14694.35,238774560,290330304
2/3/2022,14501.11,310536768,289104544
2/2/2022,15139.74,298983232,281232768
2/1/2022,15019.68,235209264,275644192
1/31/2022,14930.05,311576832,278763200
1/28/2022,14454.61,292621600,272184320
1/27/2022,14003.11,292529696,268012592
1/26/2022,14172.76,311352768,265696352
1/25/2022,14149.12,284774944,261020000
1/24/2022,14509.58,413896256,255362304
1/21/2022,14438.4,388456896,237426128
1/20/2022,14846.46,247652672,219911600
1/19/2022,15047.84,228926432,212289120
1/18/2022,15210.76,284580064,206128800
1/14/2022,15611.59,215082752,197482384
1/13/2022,15495.62,220388048,194105280
1/12/2022,15905.1,192460016,190520048
1/11/2022,15844.12,215154576,191703088
1/10/2022,15614.43,281994208,191543312
1/7/2022,15592.19,212894016,213156304
1/6/2022,15765.36,230045616,216786496
1/5/2022,15771.78,257786048,218086480
1/4/2022,16279.73,241207520,216788736
1/3/2022,16501.77,199909328,215712480
12/31/2021,16320.08,144853728,216134944
12/30/2021,16429.1,125738984,219133376
12/29/2021,16491.01,133315576,224625728
12/28/2021,16488.66,136521568,233209568
12/27/2021,16567.5,154883760,240428912
12/23/2021,16308.21,164426304,249288944
12/22/2021,16180.14,166609392,255150800
12/21/2021,15986.28,210205664,260963392
12/20/2021,15627.64,212757872,274459840
12/17/2021,15801.46,606189120,275138496
12/16/2021,15863.94,267346912,247261632
12/15/2021,16289.59,249545360,240978096
12/14/2021,15914.9,238319904,238584784
12/13/2021,16082.55,225063744,238729840
12/10/2021,16331.98,206246320,239085040
12/9/2021,16149.57,189830224,240352608
12/8/2021,16394.34,208124192,240004400
12/7/2021,16325.66,262073216,238217264
12/6/2021,15846.16,244811600,231747632
12/3/2021,15712.04,287784320,225751888
12/2/2021,15990.76,252354080,216201504
12/1/2021,15877.72,253798368,212216112
11/30/2021,16135.92,412652608,208810816
11/29/2021,16399.24,222937632,194250256
11/26/2021,16025.58,188035952,194260320
11/24/2021,16367.81,173093808,196858432
11/23/2021,16306.72,213645888,197161936
11/22/2021,16380.98,240495664,194629280
11/19/2021,16573.34,230391792,190452256
11/18/2021,16482.97,225259808,189158720
11/17/2021,16308.07,184606992,186607104
11/16/2021,16309.77,181317344,187497504
11/15/2021,16189.12,165028704,188501008
11/12/2021,16199.88,154875296,189015904
11/11/2021,16032.47,144528608,190295200
11/10/2021,15985.57,192573264,191050784
11/9/2021,16219.94,202718800,187530640
11/8/2021,16336.03,194244224,183365088
11/5/2021,16359.38,223088640,180923616
11/4/2021,16346.24,227007760,179510640
11/3/2021,16144.5,177646320,175817184
11/2/2021,15972.49,175655904,174805632
11/1/2021,15905.28,177840496,174801216
10/29/2021,15850.47,210988672,171701104
10/28/2021,15778.16,186985488,167160032
10/27/2021,15598.39,197963024,165941680
10/26/2021,15559.49,196369952,164377136
10/25/2021,15514.19,172752048,163120912
10/22/2021,15355.07,174064912,166503152
10/21/2021,15489.59,155862192,167716000
10/20/2021,15388.71,139771056,170875536
10/19/2021,15410.72,140235744,173704896
10/18/2021,15300.89,157621936,180460784
10/15/2021,15146.92,201894176,180256880
10/14/2021,15052.42,171605952,175422032
10/13/2021,14774.6,162472816,173624608
10/12/2021,14662.11,175589856,174207312
10/11/2021,14713.73,131338768,172723632
10/8/2021,14820.75,142872560,179295936
10/7/2021,14897.13,168710096,200016736
10/6/2021,14766.75,174494944,199280512
10/5/2021,14674.15,177526544,200532928
10/4/2021,14472.12,223485808,200129168
10/1/2021,14791.87,192257488,196862016
9/30/2021,14689.62,203255184,195558688
9/29/2021,14752.89,182211648,191369024
9/28/2021,14770.3,241574064,189328560
9/27/2021,15204.83,154563296,184093120
9/24/2021,15329.68,129371384,182398528
9/23/2021,15316.58,144644672,183273264
9/22/2021,15176.51,171213456,184113248
9/21/2021,15027.77,153334672,187652336
9/20/2021,15012.19,229923152,187055392
9/17/2021,15333.47,453684576,181953904
9/16/2021,15515.91,157666880,160800960
9/15/2021,15503.53,193281008,161926304
9/14/2021,15382.9,171470256,158903328
9/13/2021,15434.5,174478464,158422816
9/10/2021,15440.75,172707488,158556960
9/9/2021,15561.05,140410336,159499616
9/8/2021,15620.85,151604640,160309216
9/7/2021,15675.76,163042592,160846896
9/3/2021,15652.86,129144392,160449168
9/2/2021,15604.25,142492384,160271616
9/1/2021,15611.57,157244304,160809904
8/31/2021,15582.51,224300000,160505696
8/30/2021,15605.09,144380400,155594880
8/27/2021,15432.95,153400768,155192480
8/26/2021,15278.52,136390384,155186416
8/25/2021,15368.92,174547040,156272960
8/24/2021,15357.68,147936544,157523264
8/23/2021,15312.82,164262448,158791152
8/20/2021,15092.57,176490608,158335616
8/19/2021,14933.94,186847392,159173424
8/18/2021,14857.92,152554464,158561264
8/17/2021,15002.83,159669696,161875440
8/16/2021,15140.77,157076704,165969824
8/13/2021,15136.68,126481016,166776176
8/12/2021,15088.98,150566896,169367424
8/11/2021,15027.76,152681184,168576688
8/10/2021,15053.58,150637600,168816848
8/9/2021,15133.11,138344384,177187152
8/6/2021,15109.36,153309808,181569840
8/5/2021,15181.64,152688704,182842432
8/4/2021,15083.39,193301424,183561792
8/3/2021,15061.42,166955040,181131264
8/2/2021,14963.62,157429344,178964960
7/30/2021,14959.9,189057680,177493968
7/29/2021,15048.36,177665104,175487392
7/28/2021,15018.1,202267024,175516000
7/27/2021,14956.97,221085472,172142272
7/26/2021,15125.95,169172048,168547376
7/23/2021,15111.79,165349680,166617216
7/22/2021,14940.17,138705840,165688112
7/21/2021,14842.63,156283456,168099968
7/20/2021,14728.21,276192224,166975184
7/19/2021,14549.09,204084672,158703024
7/16/2021,14681.38,172398864,161694288
7/15/2021,14794.69,163478912,159943920
7/14/2021,14900.44,156843712,157902528
7/13/2021,14874.54,134460416,157407216
7/12/2021,14877.89,135364432,159075952
7/9/2021,14826.09,158959008,176954336
7/8/2021,14722.14,178094352,179093104
7/7/2021,14810.54,151661104,178611600
7/6/2021,14786.36,167161872,177790016
7/2/2021,14727.63,140219664,176808016
7/1/2021,14560.05,151413232,176681344
6/30/2021,14554.8,174883664,177356528
6/29/2021,14572.75,139411744,175167408
6/28/2021,14524.98,152109664,177310944
6/25/2021,14345.18,248953776,177742224
6/24/2021,14365.96,146143168,171047152
6/23/2021,14274.24,132858048,171838000
6/22/2021,14270.42,149414128,173080864
6/21/2021,14137.23,159491424,173622848
6/18/2021,14049.58,403540096,173947488
6/17/2021,14163.81,191040672,167578912
6/16/2021,13983.01,170871824,165082160
6/15/2021,14030.41,139337312,163991632
6/14/2021,14128.2,152431808,165010416
6/11/2021,13998.3,138319568,166397040
6/10/2021,13960.35,161541024,169523152
6/9/2021,13814.94,142046784,172179600
