Date,Last Price
7/28/2023,1881.03
7/27/2023,1860.44
7/26/2023,1868.73
7/25/2023,1867.75
7/24/2023,1853.31
7/21/2023,1840.48
7/20/2023,1819.97
7/19/2023,1821.49
7/18/2023,1824.92
7/17/2023,1810.2
7/14/2023,1803.99
7/13/2023,1805
7/12/2023,1790.12
7/11/2023,1800.97
7/10/2023,1793.29
7/7/2023,1776.87
7/6/2023,1757.02
7/5/2023,1772.81
7/4/2023,1770.82
7/3/2023,1759.37
6/30/2023,1759.84
6/29/2023,1762.83
6/28/2023,1790.73
6/27/2023,1776.42
6/26/2023,1780.8
6/23/2023,1781.91
6/22/2023,1764.53
6/21/2023,1756.51
6/20/2023,1744.42
6/19/2023,1738.67
6/16/2023,1748.97
6/15/2023,1740.42
6/14/2023,1740.22
6/13/2023,1743.67
6/12/2023,1742.29
6/9/2023,1736.87
6/8/2023,1720.15
6/7/2023,1751.14
6/6/2023,1752.3
6/5/2023,1728.48
6/2/2023,1729.09
6/1/2023,1685.49
5/31/2023,1671.88
5/30/2023,1674.95
5/29/2023,1669.49
5/26/2023,1647.33
5/25/2023,1645.9
5/24/2023,1653.51
5/23/2023,1667.32
5/22/2023,1671.66
5/19/2023,1653.95
5/18/2023,1647.79
5/17/2023,1635.57
5/16/2023,1654.67
5/15/2023,1654.7
5/12/2023,1652.59
5/11/2023,1640.7
5/10/2023,1642.97
5/9/2023,1629.89
5/8/2023,1628.85
5/5/2023,1606.54
5/4/2023,1612.39
4/28/2023,1621.46
4/27/2023,1607.3
4/26/2023,1607.47
4/25/2023,1589.84
4/24/2023,1609.09
4/21/2023,1605.34
4/20/2023,1610.41
4/19/2023,1614.66
4/18/2023,1633.7
4/17/2023,1641.09
4/14/2023,1639.76
4/13/2023,1658.52
4/12/2023,1664.47
4/11/2023,1666.89
4/10/2023,1662.19
4/7/2023,1659.64
4/6/2023,1654.96
4/5/2023,1678.8
4/4/2023,1679.98
4/3/2023,1672.11
3/31/2023,1643.59
3/30/2023,1628.78
3/29/2023,1623.41
3/28/2023,1617.41
3/27/2023,1615.48
3/24/2023,1603.19
3/23/2023,1596.88
3/22/2023,1583.54
3/21/2023,1569.45
3/20/2023,1551.93
3/17/2023,1592.37
