Date,Last Price
7/21/2023,1960.44
7/20/2023,1969.53
7/19/2023,1976.64
7/18/2023,1978.72
7/17/2023,1955.04
7/14/2023,1955.21
7/13/2023,1960.51
7/12/2023,1957.35
7/11/2023,1932.23
7/10/2023,1925.35
7/7/2023,1925.05
7/6/2023,1910.9
7/5/2023,1915.3
7/4/2023,1925.48
7/3/2023,1921.64
6/30/2023,1919.35
6/29/2023,1908.2
6/28/2023,1907.32
6/27/2023,1913.69
6/26/2023,1923.26
6/23/2023,1921.2
6/22/2023,1914.01
6/21/2023,1932.55
6/20/2023,1936.42
6/19/2023,1950.48
6/16/2023,1957.98
6/15/2023,1958.01
6/14/2023,1942.52
6/13/2023,1943.74
6/12/2023,1957.84
6/9/2023,1961.19
6/8/2023,1965.46
6/7/2023,1940.02
6/6/2023,1963.52
6/5/2023,1961.86
6/2/2023,1947.97
6/1/2023,1977.61
5/31/2023,1962.73
5/30/2023,1959.33
5/29/2023,1943.19
5/26/2023,1946.46
5/25/2023,1941.41
5/24/2023,1957.16
5/23/2023,1975.23
5/22/2023,1971.86
5/19/2023,1977.81
5/18/2023,1957.55
5/17/2023,1981.84
5/16/2023,1989.17
5/15/2023,2016.49
5/12/2023,2010.77
5/11/2023,2015.05
5/10/2023,2030.09
5/9/2023,2034.56
5/8/2023,2021.16
5/5/2023,2016.79
5/4/2023,2050.28
5/3/2023,2038.97
5/2/2023,2016.68
5/1/2023,1982.56
4/28/2023,1990
4/27/2023,1987.78
4/26/2023,1989.04
4/25/2023,1997.39
4/24/2023,1989.14
4/21/2023,1983.06
4/20/2023,2004.8
4/19/2023,1994.93
4/18/2023,2005.45
4/17/2023,1995.19
4/14/2023,2004.17
4/13/2023,2040.22
4/12/2023,2014.93
4/11/2023,2003.62
4/10/2023,1991.48
4/6/2023,2007.91
4/5/2023,2020.73
4/4/2023,2020.42
4/3/2023,1984.65
3/31/2023,1969.28
3/30/2023,1980.37
3/29/2023,1964.7
3/28/2023,1973.54
3/27/2023,1956.67
3/24/2023,1978.21
3/23/2023,1993.4
3/22/2023,1970.11
3/21/2023,1940.07
3/20/2023,1978.84
3/17/2023,1989.25
3/16/2023,1919.52
3/15/2023,1918.58
3/14/2023,1904.01
3/13/2023,1913.7
3/10/2023,1868.26
3/9/2023,1831.03
3/8/2023,1813.8
3/7/2023,1813.45
3/6/2023,1846.86
3/3/2023,1856.48
3/2/2023,1835.87
3/1/2023,1836.72
2/28/2023,1826.92
2/27/2023,1817.14
2/24/2023,1811.04
2/23/2023,1822.28
2/22/2023,1825.39
2/21/2023,1835.09
2/20/2023,1841.38
2/17/2023,1842.36
2/16/2023,1836.36
2/15/2023,1836.01
2/14/2023,1854.31
2/13/2023,1853.49
2/10/2023,1865.57
2/9/2023,1861.78
2/8/2023,1875.49
2/7/2023,1873.1
2/6/2023,1867.48
2/3/2023,1864.97
2/2/2023,1912.72
2/1/2023,1950.52
1/31/2023,1928.36
1/30/2023,1923.17
1/27/2023,1928.04
1/26/2023,1929.21
1/25/2023,1946.11
1/24/2023,1937.36
1/23/2023,1931.04
1/20/2023,1926.08
1/19/2023,1932.24
1/18/2023,1904.11
1/17/2023,1908.69
1/16/2023,1916.02
1/13/2023,1920.23
1/12/2023,1897.09
1/11/2023,1875.69
1/10/2023,1877.03
1/9/2023,1871.81
1/6/2023,1865.69
1/5/2023,1832.89
1/4/2023,1854.56
1/3/2023,1839.48
12/30/2022,1824.02
12/29/2022,1814.91
12/28/2022,1804.35
12/27/2022,1813.69
12/23/2022,1798.2
12/22/2022,1792.52
12/21/2022,1814.39
12/20/2022,1817.94
12/19/2022,1787.62
12/16/2022,1793.08
12/15/2022,1776.85
12/14/2022,1807.32
12/13/2022,1810.8
12/12/2022,1781.44
12/9/2022,1797.32
12/8/2022,1789.14
12/7/2022,1786.27
12/6/2022,1771.04
12/5/2022,1768.68
12/2/2022,1797.63
12/1/2022,1803.1
11/30/2022,1768.52
11/29/2022,1749.85
11/28/2022,1741.36
11/25/2022,1754.93
11/24/2022,1755.24
11/23/2022,1749.68
11/22/2022,1740.25
11/21/2022,1738.05
11/18/2022,1750.68
11/17/2022,1760.44
11/16/2022,1773.87
11/15/2022,1778.94
11/14/2022,1771.4
11/11/2022,1771.24
11/10/2022,1755.45
11/9/2022,1706.74
11/8/2022,1712.42
11/7/2022,1675.63
11/4/2022,1681.87
11/3/2022,1629.49
11/2/2022,1635.24
11/1/2022,1647.98
10/31/2022,1633.56
10/28/2022,1644.86
10/27/2022,1663.31
10/26/2022,1664.57
10/25/2022,1653.17
10/24/2022,1649.78
10/21/2022,1657.69
10/20/2022,1628.02
10/19/2022,1629.44
10/18/2022,1652.22
10/17/2022,1650.09
10/14/2022,1644.47
10/13/2022,1666.37
10/12/2022,1673.19
10/11/2022,1666.34
10/10/2022,1668.61
10/7/2022,1694.82
10/6/2022,1712.53
10/5/2022,1716.26
10/4/2022,1726.13
10/3/2022,1699.89
9/30/2022,1660.61
9/29/2022,1660.54
9/28/2022,1659.97
9/27/2022,1628.9
9/26/2022,1622.36
9/23/2022,1643.94
9/22/2022,1671.22
9/21/2022,1673.89
9/20/2022,1664.89
9/19/2022,1675.84
9/16/2022,1675.06
9/15/2022,1665.11
9/14/2022,1697.32
9/13/2022,1702.17
9/12/2022,1724.54
9/9/2022,1716.83
9/8/2022,1708.46
9/7/2022,1718.37
9/6/2022,1702.14
9/5/2022,1710.4
9/2/2022,1712.19
9/1/2022,1697.52
8/31/2022,1711.04
8/30/2022,1724.02
8/29/2022,1737.09
8/26/2022,1738.14
8/25/2022,1758.71
8/24/2022,1751.19
8/23/2022,1748.15
8/22/2022,1736.3
8/19/2022,1747.06
8/18/2022,1758.61
8/17/2022,1761.77
8/16/2022,1775.69
8/15/2022,1779.71
8/12/2022,1802.4
8/11/2022,1789.72
8/10/2022,1792.38
8/9/2022,1794.29
8/8/2022,1788.96
8/5/2022,1775.5
8/4/2022,1791.28
8/3/2022,1765.29
8/2/2022,1760.39
8/1/2022,1772.17
7/29/2022,1765.94
7/28/2022,1755.84
7/27/2022,1734.19
7/26/2022,1717.32
7/25/2022,1719.78
7/22/2022,1727.64
7/21/2022,1718.81
7/20/2022,1696.58
7/19/2022,1711.67
7/18/2022,1709.22
7/15/2022,1708.17
7/14/2022,1709.94
7/13/2022,1735.51
7/12/2022,1726
7/11/2022,1733.96
7/8/2022,1742.48
7/7/2022,1740.16
7/6/2022,1738.86
7/5/2022,1764.76
7/4/2022,1808.15
7/1/2022,1811.43
6/30/2022,1807.27
6/29/2022,1817.73
6/28/2022,1820.01
6/27/2022,1822.85
6/24/2022,1826.88
6/23/2022,1822.77
6/22/2022,1837.72
6/21/2022,1832.98
6/20/2022,1838.74
6/17/2022,1839.39
6/16/2022,1857.33
6/15/2022,1833.82
6/14/2022,1808.49
6/13/2022,1819.26
6/10/2022,1871.6
6/9/2022,1847.95
6/8/2022,1853.36
6/7/2022,1852.37
6/6/2022,1841.43
6/3/2022,1851.19
6/2/2022,1868.58
6/1/2022,1846.6
5/31/2022,1837.35
5/30/2022,1855.23
5/27/2022,1853.72
5/26/2022,1850.63
5/25/2022,1853.46
5/24/2022,1866.45
5/23/2022,1853.59
5/20/2022,1846.5
5/19/2022,1841.85
5/18/2022,1816.6
5/17/2022,1815.16
5/16/2022,1824.14
5/13/2022,1811.79
5/12/2022,1821.82
5/11/2022,1852.4
5/10/2022,1838.27
5/9/2022,1854.17
5/6/2022,1883.81
5/5/2022,1877.18
5/4/2022,1881.22
5/3/2022,1868.12
5/2/2022,1863.02
4/29/2022,1896.93
4/28/2022,1894.45
4/27/2022,1886.1
4/26/2022,1905.51
4/25/2022,1897.83
4/22/2022,1931.6
4/21/2022,1951.62
4/20/2022,1957.77
4/19/2022,1950.09
4/18/2022,1978.91
4/15/2022,1978.24
4/14/2022,1973.71
4/13/2022,1977.8
4/12/2022,1966.76
4/11/2022,1953.52
4/8/2022,1947.54
4/7/2022,1931.86
4/6/2022,1925.35
4/5/2022,1923.6
4/4/2022,1932.73
4/1/2022,1925.68
3/31/2022,1937.44
3/30/2022,1932.87
3/29/2022,1919.43
3/28/2022,1922.8
3/25/2022,1958.29
3/24/2022,1957.69
3/23/2022,1943.86
3/22/2022,1921.69
3/21/2022,1935.91
3/18/2022,1921.62
3/17/2022,1942.89
3/16/2022,1927.29
3/15/2022,1917.94
3/14/2022,1950.88
3/11/2022,1988.46
3/10/2022,1996.98
3/9/2022,1991.83
3/8/2022,2050.76
3/7/2022,1998.11
3/4/2022,1970.7
3/3/2022,1935.95
3/2/2022,1928.72
3/1/2022,1945.28
2/28/2022,1908.99
2/25/2022,1889.34
2/24/2022,1903.89
2/23/2022,1909.01
2/22/2022,1898.64
2/21/2022,1906.29
2/18/2022,1898.43
2/17/2022,1898.43
2/16/2022,1869.8
2/15/2022,1853.61
2/14/2022,1871.18
2/11/2022,1858.76
2/10/2022,1826.85
2/9/2022,1833.36
2/8/2022,1825.92
2/7/2022,1820.47
2/4/2022,1808.28
2/3/2022,1804.85
2/2/2022,1806.8
2/1/2022,1801.19
1/31/2022,1797.17
1/28/2022,1791.53
1/27/2022,1797.43
1/26/2022,1819.59
1/25/2022,1848.02
1/24/2022,1843.06
1/21/2022,1835.38
1/20/2022,1839.29
1/19/2022,1840.54
1/18/2022,1813.74
1/17/2022,1819.23
1/14/2022,1817.94
1/13/2022,1822.54
1/12/2022,1826.15
1/11/2022,1821.6
1/10/2022,1801.68
1/7/2022,1796.55
1/6/2022,1791.16
1/5/2022,1810.44
1/4/2022,1814.6
1/3/2022,1801.45
12/31/2021,1829.2
12/30/2021,1814.67
12/29/2021,1804.71
12/28/2021,1806.18
12/27/2021,1812.13
12/24/2021,1810.26
12/23/2021,1808.81
12/22/2021,1803.67
12/21/2021,1789.27
12/20/2021,1790.93
12/17/2021,1798.11
12/16/2021,1799.35
12/15/2021,1776.92
12/14/2021,1770.85
12/13/2021,1786.67
12/10/2021,1782.84
12/9/2021,1775.33
12/8/2021,1782.99
12/7/2021,1784.13
12/6/2021,1778.67
12/3/2021,1783.29
12/2/2021,1768.74
12/1/2021,1781.73
11/30/2021,1774.52
11/29/2021,1784.6
11/26/2021,1802.59
11/25/2021,1788.85
11/24/2021,1788.61
11/23/2021,1789.16
11/22/2021,1804.65
11/19/2021,1845.73
11/18/2021,1858.94
11/17/2021,1867.48
11/16/2021,1850.63
11/15/2021,1862.84
11/12/2021,1864.9
11/11/2021,1862.11
11/10/2021,1849.6
11/9/2021,1831.92
11/8/2021,1824.18
11/5/2021,1818.36
11/4/2021,1792.04
11/3/2021,1769.84
11/2/2021,1787.76
11/1/2021,1793.28
10/29/2021,1783.38
10/28/2021,1798.91
10/27/2021,1796.81
10/26/2021,1792.91
10/25/2021,1807.73
10/22/2021,1792.65
10/21/2021,1782.9
10/20/2021,1782.08
10/19/2021,1769.29
10/18/2021,1764.86
10/15/2021,1767.62
10/14/2021,1795.87
10/13/2021,1792.97
10/12/2021,1760.18
10/11/2021,1754.15
10/8/2021,1757.13
10/7/2021,1755.78
10/6/2021,1762.74
10/5/2021,1760.18
10/4/2021,1769.57
10/1/2021,1760.98
9/30/2021,1756.95
9/29/2021,1726.37
9/28/2021,1734.01
9/27/2021,1750.16
9/24/2021,1750.42
9/23/2021,1742.76
9/22/2021,1768.16
9/21/2021,1774.51
9/20/2021,1764.16
9/17/2021,1754.34
9/16/2021,1753.77
9/15/2021,1794.06
9/14/2021,1804.51
9/13/2021,1793.75
9/10/2021,1787.58
9/9/2021,1794.58
9/8/2021,1789.26
9/7/2021,1794.36
9/6/2021,1823.29
9/3/2021,1827.73
9/2/2021,1809.66
9/1/2021,1813.9
8/31/2021,1813.62
8/30/2021,1810.34
8/27/2021,1817.57
8/26/2021,1792.43
8/25/2021,1791
8/24/2021,1802.9
8/23/2021,1805.43
8/20/2021,1781.11
8/19/2021,1780.38
8/18/2021,1787.82
8/17/2021,1786.19
8/16/2021,1787.45
8/13/2021,1779.74
8/12/2021,1752.9
8/11/2021,1751.7
8/10/2021,1728.93
8/9/2021,1729.94
8/6/2021,1763.03
8/5/2021,1804.41
8/4/2021,1811.74
8/3/2021,1810.44
8/2/2021,1813.47
7/30/2021,1814.19
7/29/2021,1828.17
7/28/2021,1807.11
7/27/2021,1799.09
7/26/2021,1797.63
7/23/2021,1802.15
7/22/2021,1806.92
7/21/2021,1803.66
7/20/2021,1810.36
7/19/2021,1812.64
7/16/2021,1812.05
7/15/2021,1829.47
7/14/2021,1827.53
7/13/2021,1807.76
7/12/2021,1806.28
7/9/2021,1808.32
7/8/2021,1802.83
7/7/2021,1803.63
7/6/2021,1797.08
7/5/2021,1791.77
7/2/2021,1787.3
7/1/2021,1776.84
6/30/2021,1770.11
6/29/2021,1761.24
6/28/2021,1778.48
6/25/2021,1781.44
6/24/2021,1775.17
6/23/2021,1778.68
6/22/2021,1778.74
6/21/2021,1783.27
6/18/2021,1764.16
6/17/2021,1773.5
6/16/2021,1811.47
6/15/2021,1859.02
6/14/2021,1866.18
6/11/2021,1877.53
6/10/2021,1898.51
6/9/2021,1888.57
6/8/2021,1892.89
6/7/2021,1899.21
6/4/2021,1891.59
6/3/2021,1870.76
6/2/2021,1908.38
6/1/2021,1900.44
5/31/2021,1906.87
5/28/2021,1903.77
5/27/2021,1896.54
5/26/2021,1896.67
5/25/2021,1899.25
5/24/2021,1881.02
5/21/2021,1881.25
5/20/2021,1877.21
5/19/2021,1869.62
5/18/2021,1869.44
5/17/2021,1866.9
5/14/2021,1843.43
5/13/2021,1826.72
5/12/2021,1815.69
5/11/2021,1837.47
5/10/2021,1836.07
5/7/2021,1831.24
5/6/2021,1815.22
5/5/2021,1786.87
5/4/2021,1779.06
5/3/2021,1792.88
4/30/2021,1769.13
4/29/2021,1772.18
4/28/2021,1781.68
4/27/2021,1776.6
4/26/2021,1781.38
4/23/2021,1777.2
4/22/2021,1783.94
4/21/2021,1793.79
4/20/2021,1778.75
4/19/2021,1771.43
4/16/2021,1776.51
4/15/2021,1763.95
4/14/2021,1736.43
4/13/2021,1745.51
4/12/2021,1732.76
4/9/2021,1743.88
4/8/2021,1755.84
4/7/2021,1737.72
4/6/2021,1743.27
4/5/2021,1728.27
4/2/2021,1728.87
4/1/2021,1729.31
3/31/2021,1707.71
3/30/2021,1685.2
3/29/2021,1712.2
3/26/2021,1732.52
3/25/2021,1726.93
3/24/2021,1734.69
3/23/2021,1727.07
3/22/2021,1739.03
3/19/2021,1745.23
3/18/2021,1736.42
3/17/2021,1745.33
3/16/2021,1731.4
3/15/2021,1731.67
3/12/2021,1727.11
3/11/2021,1722.6
3/10/2021,1726.71
3/9/2021,1716.1
3/8/2021,1683.54
3/5/2021,1700.64
3/4/2021,1697.52
3/3/2021,1711.23
3/2/2021,1738.36
3/1/2021,1725.04
2/26/2021,1734.04
2/25/2021,1770.56
2/24/2021,1805.06
2/23/2021,1805.73
2/22/2021,1809.67
2/19/2021,1784.25
2/18/2021,1775.67
2/17/2021,1776.13
