Date,Last Price,Volume,SMAVG (15)
7/21/2023,32304.25,793858624,913023104
7/20/2023,32490.52,755996992,938693568
7/19/2023,32896.03,818995392,949036608
7/18/2023,32493.89,811117696,947491840
7/14/2023,32391.26,902827584,942799936
7/13/2023,32419.33,777770816,951705088
7/12/2023,31943.93,883889600,962963968
7/11/2023,32203.57,871600768,958704896
7/10/2023,32189.73,1011654016,955540160
7/7/2023,32388.42,1050562688,943368896
7/6/2023,32773.02,1005548672,961360832
7/5/2023,33338.7,951326208,964869248
7/4/2023,33422.52,993713472,975816960
7/3/2023,33753.33,953902976,969204736
6/30/2023,33189.04,1112581248,951414208
6/29/2023,33234.14,1178914944,944927680
6/28/2023,33193.99,911142912,923693568
6/27/2023,32538.33,795823616,937578176
6/26/2023,32698.81,740739200,939509056
6/23/2023,32781.54,1036405632,956017664
6/22/2023,33264.88,946653504,947361408
6/21/2023,33575.14,820003328,947644736
6/20/2023,33388.91,824130304,1016034432
6/19/2023,33370.42,829084928,1008989312
6/16/2023,33706.08,1320441344,1005935552
6/15/2023,33485.49,1058175104,970138624
6/14/2023,33502.42,1115542016,955585344
6/13/2023,33018.65,894530112,935688576
6/12/2023,32434,687045376,937494528
6/9/2023,32265.17,1015282624,941953984
6/8/2023,31641.27,860403584,927953600
6/7/2023,31913.74,1119412352,930917184
6/6/2023,32506.78,824786880,918345408
6/5/2023,32217.43,988367872,934954368
6/2/2023,31524.22,906561984,928121408
6/1/2023,31148.01,950903488,938406848
5/31/2023,30887.88,1845848448,929818240
5/30/2023,31328.16,718453120,864945664
5/29/2023,31233.54,783278720,874643072
5/26/2023,30916.31,783488128,871857408
5/25/2023,30801.13,839875392,862231680
5/24/2023,30682.68,817090304,855152128
5/23/2023,30957.77,921619776,869985536
5/22/2023,31086.82,753937280,857581824
5/19/2023,30808.35,805277120,853123072
5/18/2023,30573.93,904857088,838989632
5/17/2023,30093.59,930835712,811967616
5/16/2023,29842.99,1073921152,790822656
5/15/2023,29626.34,885873472,757055872
5/12/2023,29388.3,1060843584,736680768
5/11/2023,29126.72,822074304,707472960
5/10/2023,29122.18,872759424,691338688
5/9/2023,29242.82,863914624,681751296
5/8/2023,28949.88,741494016,664062720
5/2/2023,29157.95,639102208,656419008
5/1/2023,29123.18,733682112,657040192
4/28/2023,28856.44,1039590912,640149056
4/27/2023,28457.68,735564608,603579072
4/26/2023,28416.47,687055424,603343424
4/25/2023,28620.07,593275392,607090240
4/24/2023,28593.52,499527104,616384704
4/21/2023,28564.37,613661824,633109504
4/20/2023,28657.57,567419392,652964608
4/19/2023,28606.76,580246976,669824448
4/18/2023,28658.83,622725696,687023744
4/17/2023,28514.78,580060288,689745984
4/14/2023,28493.47,728949312,689340352
4/13/2023,28156.97,598585216,680442304
4/12/2023,28082.7,626839104,683289664
4/11/2023,27923.37,648419968,693548416
4/10/2023,27633.66,480314816,703114304
4/7/2023,27518.31,491041216,738749184
4/6/2023,27472.63,732029696,777418432
4/5/2023,27813.26,743257408,786360448
4/4/2023,28287.42,732692416,820613824
4/3/2023,28188.15,750398976,835805504
3/31/2023,28041.48,911488896,859952896
3/30/2023,27782.93,820317120,847389632
3/29/2023,27883.78,838235712,837511936
3/28/2023,27518.25,663559808,828159808
3/27/2023,27476.87,573975680,827741696
3/24/2023,27385.25,595478208,841611328
3/23/2023,27419.61,641296128,848103744
3/22/2023,27466.61,780719808,851878080
3/20/2023,26945.67,791909120,857354112
3/17/2023,27333.79,1014837312,844159552
3/16/2023,27010.61,1071079808,827164160
3/15/2023,27229.48,866160576,805566464
3/14/2023,27222.04,1257058048,788907840
3/13/2023,27832.96,960567168,746751936
3/10/2023,28143.97,1112609664,728575104
3/9/2023,28623.15,723039872,699813696
3/8/2023,28444.19,672152576,699680128
3/7/2023,28309.16,697953088,692081344
3/6/2023,28237.78,657288512,692512192
3/3/2023,27927.47,782019904,707908096
3/2/2023,27498.87,692864768,696899584
3/1/2023,27516.53,697910720,696687040
2/28/2023,27445.56,862860800,699667904
2/27/2023,27423.96,593990016,701096320
2/24/2023,27453.48,759907200,723362624
2/22/2023,27104.32,747113792,721532992
2/21/2023,27473.1,616281472,715624576
2/20/2023,27531.94,624719296,724270720
2/17/2023,27513.13,687914688,726465408
2/16/2023,27696.44,681188608,728271296
2/15/2023,27501.86,721036032,725040768
2/14/2023,27602.77,558171392,719212224
2/13/2023,27427.32,704415680,729178560
2/10/2023,27670.98,888227072,722341632
2/9/2023,27584.35,616892096,703421120
2/8/2023,27606.46,689676416,708110592
2/7/2023,27685.47,742623680,724376896
2/6/2023,27693.65,884286976,720248064
2/3/2023,27509.46,927984768,709075200
2/2/2023,27402.05,732462720,712741184
2/1/2023,27346.88,658488128,715261952
1/31/2023,27327.11,745973120,712934976
1/30/2023,27433.4,657639808,710701056
1/27/2023,27382.56,715002624,712293888
1/26/2023,27362.75,632731392,712833216
1/25/2023,27395.01,633607104,726204288
1/24/2023,27299.19,707666624,719121216
1/23/2023,26906.04,601862016,714017088
1/20/2023,26553.53,604419008,714908032
1/19/2023,26405.23,687234688,708066432
1/18/2023,26791.12,933670784,693792896
1/17/2023,26138.68,680690816,681986048
1/16/2023,25822.32,716694720,685517248
1/13/2023,26119.52,982974272,717236544
1/12/2023,26449.82,770274496,730722496
1/11/2023,26446,623583104,718161728
1/10/2023,26175.56,712464128,732423040
1/6/2023,25973.85,681532288,718967040
1/5/2023,25820.8,723092480,710086336
1/4/2023,25716.86,833297472,696490688
12/30/2022,26094.5,527361312,673994048
