Date,Last Price
7/21/2023,1285.77
7/20/2023,1280.55
7/19/2023,1308.35
7/18/2023,1319.64
7/17/2023,1291.8
7/14/2023,1277.84
7/13/2023,1295.86
7/12/2023,1286.01
7/11/2023,1255.13
7/10/2023,1241.23
7/7/2023,1250.11
7/6/2023,1245.09
7/5/2023,1256.74
7/4/2023,1248.86
7/3/2023,1245.78
6/30/2023,1230.42
6/29/2023,1228.85
6/28/2023,1262.36
6/27/2023,1298.72
6/26/2023,1310.03
6/23/2023,1288.28
6/22/2023,1287.08
6/21/2023,1354.44
6/20/2023,1387.15
6/19/2023,1410.81
6/16/2023,1416.62
6/15/2023,1400.2
6/14/2023,1390.36
6/13/2023,1360.52
6/12/2023,1353.4
6/9/2023,1328.51
6/8/2023,1363.65
6/7/2023,1396.55
6/6/2023,1414.17
6/5/2023,1415
6/2/2023,1424.29
6/1/2023,1397.58
5/31/2023,1368.35
5/30/2023,1411.38
5/29/2023,1418.13
5/26/2023,1426.25
5/25/2023,1421.76
5/24/2023,1418.8
5/23/2023,1455.7
5/22/2023,1491.26
5/19/2023,1514.72
5/18/2023,1471.31
5/17/2023,1487.56
5/16/2023,1500.48
5/15/2023,1529.25
5/12/2023,1512.77
5/11/2023,1559.71
5/10/2023,1613.71
5/9/2023,1575.38
5/8/2023,1556.46
5/5/2023,1495.31
5/4/2023,1456.91
5/3/2023,1429.81
5/2/2023,1442.39
5/1/2023,1459.18
4/28/2023,1506.87
4/27/2023,1498.75
4/26/2023,1510.19
4/25/2023,1496.93
4/24/2023,1540
4/21/2023,1605.1
4/20/2023,1594.02
4/19/2023,1615.05
4/18/2023,1613.93
4/17/2023,1560.51
4/14/2023,1507.52
4/13/2023,1511.07
4/12/2023,1473.28
4/11/2023,1458.06
4/10/2023,1423.55
4/7/2023,1470.06
4/6/2023,1469.78
4/5/2023,1432.07
4/4/2023,1467.02
4/3/2023,1464.9
3/31/2023,1463.77
3/30/2023,1461.56
3/29/2023,1439.94
3/28/2023,1425.34
3/27/2023,1422.82
3/24/2023,1422
3/23/2023,1434.63
3/22/2023,1453.38
3/21/2023,1406.37
3/20/2023,1417.81
3/17/2023,1423.3
3/16/2023,1432.63
3/15/2023,1466.55
3/14/2023,1510.05
3/13/2023,1478.69
3/10/2023,1383.98
3/9/2023,1395.07
3/8/2023,1377.06
3/7/2023,1391.57
3/6/2023,1448.11
3/3/2023,1458.45
3/2/2023,1451.62
3/1/2023,1443.74
2/28/2023,1418.38
2/27/2023,1431.58
2/24/2023,1415.62
2/23/2023,1452.13
2/22/2023,1484.36
2/21/2023,1527.55
2/20/2023,1516.18
2/17/2023,1502.59
2/16/2023,1511.95
2/15/2023,1467.61
2/14/2023,1498.39
2/13/2023,1570.61
2/10/2023,1545.67
2/9/2023,1633.24
2/8/2023,1652.1
2/7/2023,1646.54
2/6/2023,1602.15
2/3/2023,1631.77
2/2/2023,1661.06
2/1/2023,1672.96
1/31/2023,1653.33
1/30/2023,1644.05
1/27/2023,1623.59
1/26/2023,1678.34
1/25/2023,1698.94
1/24/2023,1747.04
1/23/2023,1711
1/20/2023,1735.81
1/19/2023,1760.1
1/18/2023,1722.53
1/17/2023,1745.57
1/16/2023,1758.75
1/13/2023,1792.81
1/12/2023,1799.39
1/11/2023,1780
1/10/2023,1783.71
1/9/2023,1779.82
1/6/2023,1811.93
1/5/2023,1745.39
1/4/2023,1796.17
1/3/2023,1712.18
12/30/2022,1792.68
12/29/2022,1817.6
12/28/2022,1790.98
12/27/2022,1832.32
12/23/2022,1754.28
12/22/2022,1685.63
12/21/2022,1698.22
12/20/2022,1736.68
12/19/2022,1674.99
12/16/2022,1720.75
12/15/2022,1796.31
12/14/2022,1921.77
12/13/2022,1929.38
12/12/2022,1892.43
12/9/2022,1956.76
12/8/2022,1927.38
12/7/2022,1850.57
12/6/2022,1851.83
12/5/2022,1879.36
12/2/2022,1901.4
12/1/2022,1943.94
11/30/2022,1882.45
11/29/2022,1838.34
11/28/2022,1847.5
11/25/2022,1847.69
11/24/2022,1887.12
11/23/2022,1885.27
11/22/2022,1864.46
11/21/2022,1868.26
11/18/2022,1939.21
11/17/2022,2010.7
11/16/2022,2076.4
11/15/2022,2106.21
11/14/2022,2029.74
11/11/2022,2049.35
11/10/2022,1973.23
11/9/2022,1868.74
11/8/2022,1925.21
11/7/2022,1904.63
11/4/2022,1876.5
11/3/2022,1804.68
11/2/2022,1857.79
11/1/2022,1882.73
10/31/2022,1845.95
10/28/2022,1911.5
10/27/2022,1950.34
10/26/2022,1969.53
10/25/2022,1935.36
10/24/2022,1972.08
10/21/2022,2018.5
10/20/2022,2062.07
10/19/2022,2005.6
10/18/2022,2022.06
10/17/2022,2000.96
10/14/2022,1995.88
10/13/2022,2117.03
10/12/2022,2138.22
10/11/2022,2133.9
10/10/2022,2184.26
10/7/2022,2194.75
10/6/2022,2263.17
10/5/2022,2261.35
10/4/2022,2321.1
10/3/2022,2226.03
9/30/2022,2166.46
9/29/2022,2203.16
9/28/2022,2150.11
9/27/2022,2074.62
9/26/2022,2044.22
9/23/2022,2073
9/22/2022,2172.82
9/21/2022,2158.5
9/20/2022,2170.88
9/19/2022,2229.39
9/16/2022,2138.16
9/15/2022,2141.1
9/14/2022,2166.68
9/13/2022,2106.6
9/12/2022,2268.51
9/9/2022,2178.58
9/8/2022,2142.22
9/7/2022,2043.73
9/6/2022,2009.23
9/5/2022,2037.72
9/2/2022,2024
9/1/2022,2014.19
8/31/2022,2088.25
8/30/2022,2089.33
8/29/2022,2146.92
8/26/2022,2108.87
8/25/2022,2150.86
8/24/2022,2038.4
8/23/2022,1985.44
8/22/2022,2002.76
8/19/2022,2129.59
8/18/2022,2160.59
8/17/2022,2139.12
8/16/2022,2157.34
8/15/2022,2150.73
8/12/2022,2224.95
8/11/2022,2280.78
8/10/2022,2245.56
8/9/2022,2218.08
8/8/2022,2236.77
8/5/2022,2129.29
8/4/2022,2069.62
8/3/2022,2017.66
8/2/2022,2063.05
8/1/2022,2196.04
7/29/2022,2131.1
7/28/2022,2081.13
7/27/2022,2033.74
7/26/2022,2014.68
7/25/2022,2010.16
7/22/2022,2039
7/21/2022,1897.02
7/20/2022,1864.79
7/19/2022,1880.19
7/18/2022,1859.33
7/15/2022,1830.37
7/14/2022,1903.59
7/13/2022,1981.44
7/12/2022,2030.43
7/11/2022,2149.02
7/8/2022,2160.96
7/7/2022,1996.11
7/6/2022,1907.84
7/5/2022,1937.03
7/4/2022,1930.4
7/1/2022,1959.58
6/30/2022,1940.22
6/29/2022,1966.5
6/28/2022,1876.65
6/27/2022,1873.18
6/24/2022,1882.75
6/23/2022,1849.91
6/22/2022,1866.67
6/21/2022,1878.8
6/20/2022,1853.37
6/17/2022,1818.61
6/16/2022,1883.27
6/15/2022,1862.8
6/14/2022,1818.62
6/13/2022,1799.47
6/10/2022,1934.12
6/9/2022,1927.39
6/8/2022,1945.59
6/7/2022,1986.34
6/6/2022,2006.45
6/3/2022,1982.74
6/2/2022,2057.32
6/1/2022,1997.79
5/31/2022,2002.15
5/30/2022,2035.44
5/27/2022,2067.44
5/26/2022,2016.07
5/25/2022,2009.07
5/24/2022,2009.4
5/23/2022,1998.54
5/20/2022,1964.92
5/19/2022,2004.45
5/18/2022,2017.49
5/17/2022,2057.63
5/16/2022,2030.56
5/13/2022,1946.3
5/12/2022,1906.93
5/11/2022,2036.67
5/10/2022,2068.35
5/9/2022,2097.52
5/6/2022,2051.92
5/5/2022,2189.94
5/4/2022,2260.72
5/3/2022,2261.94
5/2/2022,2216.54
4/29/2022,2326.92
4/28/2022,2237.23
4/27/2022,2205.25
4/26/2022,2190
4/25/2022,2147.63
4/22/2022,2378.75
4/21/2022,2425.8
4/20/2022,2454.91
4/19/2022,2375.02
4/18/2022,2440.88
4/15/2022,2372.95
4/14/2022,2368.3
4/13/2022,2319.7
4/12/2022,2331.35
4/11/2022,2433.64
4/8/2022,2431.46
4/7/2022,2237.42
4/6/2022,2200.67
4/5/2022,2235.57
4/4/2022,2278.95
4/1/2022,2276.5
3/31/2022,2268
3/30/2022,2269.06
3/29/2022,2158.5
3/28/2022,2234.25
3/25/2022,2327.14
3/24/2022,2531.92
3/23/2022,2527.65
3/22/2022,2493.58
3/21/2022,2595.34
3/18/2022,2496.71
3/17/2022,2516.98
3/16/2022,2407.29
3/15/2022,2431.56
3/14/2022,2382.94
3/11/2022,2807.77
3/10/2022,2932.69
3/9/2022,2967.78
3/8/2022,3171.88
3/7/2022,2996.63
3/4/2022,3011.5
3/3/2022,2783.55
3/2/2022,2678.73
3/1/2022,2588.74
2/28/2022,2492.65
2/25/2022,2368.72
2/24/2022,2418.78
2/23/2022,2479.52
2/22/2022,2358.06
2/21/2022,2391.41
2/18/2022,2350.75
2/17/2022,2370.01
2/16/2022,2285.97
2/15/2022,2253.53
2/14/2022,2367.85
2/11/2022,2308.5
2/10/2022,2259.95
2/9/2022,2280.32
2/8/2022,2246.62
2/7/2022,2267.19
2/4/2022,2294.06
2/3/2022,2328.55
2/2/2022,2376.75
2/1/2022,2356.75
1/31/2022,2355.42
1/28/2022,2378.88
1/27/2022,2378.25
1/26/2022,2332.5
1/25/2022,2201
1/24/2022,2150.95
1/21/2022,2111.19
1/20/2022,2065.27
1/19/2022,2007.77
1/18/2022,1906.12
1/17/2022,1876.25
1/14/2022,1881.5
1/13/2022,1891.3
1/12/2022,1916.91
1/11/2022,1926.72
1/10/2022,1909.94
1/7/2022,1935.2
1/6/2022,1878.67
1/5/2022,1869
1/4/2022,1875.93
1/3/2022,1827.31
12/31/2021,1904.84
12/30/2021,1967.31
12/29/2021,1983.66
12/28/2021,1993.1
12/27/2021,1974.25
12/24/2021,1947.91
12/23/2021,1950.43
12/22/2021,1884.8
12/21/2021,1796.19
12/20/2021,1754.43
12/17/2021,1788.72
12/16/2021,1734.31
12/15/2021,1601.57
12/14/2021,1629.95
12/13/2021,1687.57
12/10/2021,1764.32
12/9/2021,1817.27
12/8/2021,1856.07
12/7/2021,1855.69
12/6/2021,1855.09
12/3/2021,1817.43
12/2/2021,1783.84
12/1/2021,1750.12
11/30/2021,1741.29
11/29/2021,1796.06
11/26/2021,1765.28
11/25/2021,1863.89
11/24/2021,1853.7
11/23/2021,1875.16
11/22/2021,1959.04
11/19/2021,2061.25
11/18/2021,2137.32
11/17/2021,2193.04
11/16/2021,2162.08
11/15/2021,2152.74
11/12/2021,2111.41
11/11/2021,2061
11/10/2021,2028.03
11/9/2021,2027.15
11/8/2021,2077.23
11/5/2021,2040.09
11/4/2021,2005.75
11/3/2021,2008.5
11/2/2021,2014.06
11/1/2021,2056.76
10/29/2021,2004.06
10/28/2021,1991.3
10/27/2021,1963.8
10/26/2021,2007.59
10/25/2021,2055.92
10/22/2021,2021.5
10/21/2021,2017.75
10/20/2021,2074.78
10/19/2021,2101.55
10/18/2021,2018
10/15/2021,2078.21
10/14/2021,2133.19
10/13/2021,2111.45
10/12/2021,2049.33
10/11/2021,2115.17
10/8/2021,2079.17
10/7/2021,1965.15
10/6/2021,1892.43
10/5/2021,1917.42
10/4/2021,1907.28
10/1/2021,1921.82
9/30/2021,1913.01
9/29/2021,1861.42
9/28/2021,1879.66
9/27/2021,1968.34
9/24/2021,1972.96
9/23/2021,1985.89
