Date,Last Price,Volume,SMAVG (15)
7/28/2023,11100.4,18251251712,11903375360
7/27/2023,10923.77,13875008512,11520222208
7/26/2023,10968.98,11666039808,11404935168
7/25/2023,11021.29,15472172032,11393546240
7/24/2023,10747.79,10521928704,11193978880
7/21/2023,10810.18,10087066624,11409248256
7/20/2023,10816.27,11143213056,11537794048
7/19/2023,10932.65,8769087488,11559615488
7/18/2023,10972.96,9984966656,11757745152
7/17/2023,11010.36,10217705472,11853392896
7/14/2023,11080.32,12519983104,12136728576
7/13/2023,11095.44,12385598464,12150208512
7/12/2023,10919.26,12648491008,12160795648
7/11/2023,11028.68,10217705472,12216004608
7/10/2023,10942.83,10790411264,12449509376
7/7/2023,10888.55,12503951360,12659336192
7/6/2023,10968.37,12145712128,12713384960
7/5/2023,11029.3,11495202816,12704261120
7/4/2023,11130.3,12478654464,12777743360
7/3/2023,11091.56,13750968320,12843005952
6/30/2023,11026.59,12015264768,12646576128
6/29/2023,10915.5,11470523392,12499656704
6/28/2023,10926.32,11741037568,12592794624
6/27/2023,10978.08,11419686912,12614612992
6/26/2023,10872.3,14467744768,12724929536
6/21/2023,11058.63,12722173952,12668385280
6/20/2023,11305.35,12544405504,12674524160
6/19/2023,11274.05,13476625408,12772350976
6/16/2023,11306.53,13720280064,12811882496
6/15/2023,11182.94,13937807360,12642658304
6/14/2023,10984.56,13314692096,12488043520
6/13/2023,10955.96,12008842240,12317181952
6/12/2023,10873.74,12597443584,12219247616
6/9/2023,10793.93,13457597440,12082683904
6/8/2023,10722.87,10804509696,11960423424
6/7/2023,10708.82,9811477504,12026133504
6/6/2023,10773.45,12867592192,12036677632
6/5/2023,10946.08,12068312064,11959309312
6/2/2023,10998.08,13074441216,12082763776
6/1/2023,10835.9,13619586048,12052900864
5/31/2023,10793.85,12814257152,12015548416
5/30/2023,10869.55,14011796480,12138721280
5/29/2023,10822.09,14069604352,12475757568
5/26/2023,10909.65,11181912064,12678281216
5/25/2023,10896.58,11618594816,13064785920
5/24/2023,10920.33,10751759360,13533369344
5/23/2023,11012.58,10539823104,13895109632
5/22/2023,11127.04,10548996096,14184972288
5/19/2023,11091.36,11623683072,14541911040
5/18/2023,11078.28,11790163968,14921502720
5/17/2023,11091.08,9969647616,15193004032
5/16/2023,11099.26,11707064320,15657754624
5/15/2023,11178.62,13920121856,15913233408
5/12/2023,11005.64,12626508800,15967191040
5/11/2023,11142.53,13059295232,16102646784
5/10/2023,11140.19,14661854208,16260916224
5/9/2023,11125.02,19067330560,16264730624
5/8/2023,11225.77,17107457024,16044370944
5/5/2023,11180.87,16979490816,15963483136
5/4/2023,11273.87,18647343104,15841160192
4/28/2023,11338.67,16177864704,15658969088
4/27/2023,11217,14887758848,15568393216
4/26/2023,11185.68,15903085568,15666699264
4/25/2023,11149.01,17317554176,15824019456
4/24/2023,11317.01,15862683648,15932224512
4/21/2023,11450.43,16940904448,15833244672
4/20/2023,11717.26,15539243008,15604750336
4/19/2023,11760.27,14729490432,15493196800
4/18/2023,11860.4,14658341888,15489153024
4/17/2023,11855.48,15433347072,15636857856
4/14/2023,11800.09,14719069184,15688897536
