Date,Last Price,Volume,SMAVG (15)
6/30/2023,4450.38,772964864,777453888
6/29/2023,4396.44,556987648,765448896
6/28/2023,4376.86,596763200,777807488
6/27/2023,4378.41,610540608,776758464
6/26/2023,4328.82,615647680,775877952
6/23/2023,4348.33,1102248576,781879680
6/22/2023,4381.89,560134144,756447040
6/21/2023,4365.69,701610624,836575104
6/20/2023,4388.71,725393280,835281664
6/16/2023,4409.59,2045540608,833375616
6/15/2023,4425.84,748295360,746536640
6/14/2023,4372.59,727422336,735469184
6/13/2023,4369.01,658428864,728670848
6/12/2023,4338.93,661476800,722025472
6/9/2023,4298.86,578353344,723645568
6/8/2023,4293.93,592889920,728646464
6/7/2023,4267.52,742367296,733507072
6/6/2023,4283.85,581027136,721444032
6/5/2023,4273.79,597332928,718894784
6/2/2023,4282.37,705674304,715878848
6/1/2023,4221.02,720758208,708207808
5/31/2023,4179.83,1762055680,702222016
5/30/2023,4205.52,682208448,623444288
5/26/2023,4205.45,696802560,614073728
5/25/2023,4151.28,742956864,611729408
5/24/2023,4115.24,582283072,610665792
5/23/2023,4145.58,625447296,617231296
5/22/2023,4192.63,558748224,621161280
5/19/2023,4191.98,685778048,624015808
5/18/2023,4198.05,653367040,630804480
5/17/2023,4158.77,665798976,634086912
5/16/2023,4109.9,561421440,635557568
5/15/2023,4136.28,542788544,641613248
5/12/2023,4124.08,552093760,641840000
5/11/2023,4130.62,590608896,649946816
5/10/2023,4137.64,630971200,653934656
5/9/2023,4119.17,580390272,648200832
5/8/2023,4138.12,541650048,646652800
5/5/2023,4136.25,661637760,648550336
5/4/2023,4061.22,727002304,642162816
5/3/2023,4090.75,680765248,635255168
5/2/2023,4119.58,684397568,629234688
5/1/2023,4167.87,601566272,619501376
4/28/2023,4169.48,787608256,614739200
4/27/2023,4135.35,702603264,600043584
4/26/2023,4055.99,687858752,596462976
4/25/2023,4071.63,652256256,592148608
4/24/2023,4137.04,546190336,592419712
4/21/2023,4133.52,673695744,609701760
4/20/2023,4129.79,650426304,600518144
4/19/2023,4154.52,544963712,598948544
4/18/2023,4154.87,557170560,596637952
4/17/2023,4151.32,570112704,602183808
4/14/2023,4137.64,565824768,609955776
4/13/2023,4146.22,623387840,623025536
4/12/2023,4091.95,590457600,627656512
4/11/2023,4108.94,538398208,642676352
4/10/2023,4109.11,530133216,660737664
4/6/2023,4105.02,567174272,801066624
4/5/2023,4090.38,648894848,825459008
4/4/2023,4100.6,623143232,848850816
4/3/2023,4124.51,656322624,869645824
3/31/2023,4109.31,805421248,893223488
3/30/2023,4050.83,535941312,895126080
3/29/2023,4027.81,626882432,905261760
3/28/2023,3971.27,510304640,899403520
3/27/2023,3977.53,640358336,906816064
3/24/2023,3970.99,686692160,904974848
3/23/2023,3948.72,761870848,900406464
3/22/2023,3936.97,692852992,890306624
3/21/2023,4002.87,815755008,884515776
3/20/2023,3951.57,809318144,895207232
3/17/2023,3916.64,2635067648,878120896
3/16/2023,3960.28,933059328,742690240
3/15/2023,3891.93,999772352,721794560
3/14/2023,3919.29,935067968,696368000
3/13/2023,3855.76,1009987840,679484800
3/10/2023,3861.59,833959872,656995008
3/9/2023,3918.32,687977280,641728256
3/8/2023,3992.01,539008256,633235776
3/7/2023,3986.37,621492608,637066944
3/6/2023,4048.42,612740224,635715648
3/3/2023,4045.64,618166144,635881728
3/2/2023,3981.35,610373888,640653952
3/1/2023,3951.39,605989824,643364608
2/28/2023,3970.15,976126656,648022976
2/27/2023,3982.24,553023488,622283008
2/24/2023,3970.04,603607872,634449216
2/23/2023,4012.32,619624384,650555968
2/22/2023,3991.05,618373632,661990016
2/21/2023,3997.34,681820096,684057216
2/17/2023,4079.09,672640512,678060608
2/16/2023,4090.41,604958848,675038016
2/15/2023,4147.6,560590336,675334144
2/14/2023,4136.13,596475392,678794496
2/13/2023,4137.29,601223872,671426816
2/10/2023,4090.46,615231168,672409600
2/9/2023,4081.5,689749120,686822912
2/8/2023,4117.86,651034176,684912768
2/7/2023,4164,675865280,686437952
2/6/2023,4111.08,590026688,686596992
2/3/2023,4136.48,735516480,685525056
2/2/2023,4179.76,845209728,678652352
2/1/2023,4119.21,791134656,665024384
1/31/2023,4076.6,949382016,649052352
1/30/2023,4017.77,591870720,630322112
1/27/2023,4070.56,627301504,635011392
1/26/2023,4060.43,609400768,635351360
1/25/2023,4016.22,612496192,642825088
1/24/2023,4016.95,485960320,646071808
1/23/2023,4019.81,615965440,647784192
1/20/2023,3972.61,831430848,637832448
1/19/2023,3898.85,661096832,611608128
1/18/2023,3928.86,673911680,597534208
1/17/2023,3990.97,678250944,579778816
1/13/2023,3999.09,573948032,575840640
1/12/2023,3983.17,632425472,576171712
1/11/2023,3969.61,640790400,574365312
1/10/2023,3919.25,551554240,576049216
1/9/2023,3892.09,668427968,704674880
1/6/2023,3895.08,662209792,713101760
1/5/2023,3808.1,632401728,718998912
1/4/2023,3852.97,721505984,736837888
1/3/2023,3824.14,661196992,729979968
12/30/2022,3839.5,511646752,724693120
12/29/2022,3849.28,466689120,729421504
12/28/2022,3783.22,438066304,740323072
12/27/2022,3829.25,449987360,754168384
12/23/2022,3844.82,407580896,763465024
12/22/2022,3822.39,619178112,772905152
12/21/2022,3878.44,578914496,773899712
12/20/2022,3821.62,605329600,829055424
12/19/2022,3817.66,666048704,823196800
12/16/2022,3852.36,2480939008,818934720
12/15/2022,3895.75,794832000,669199488
12/14/2022,3995.32,750666816,645246400
12/13/2022,4019.65,899986304,631317824
12/12/2022,3990.56,618637056,608296768
12/9/2022,3934.38,581894592,610960640
12/8/2022,3963.51,582572160,609547264
12/7/2022,3933.92,630212864,612509888
12/6/2022,3941.26,645745600,618097856
12/5/2022,3998.84,589437376,619920000
12/2/2022,4071.7,549183040,631338944
12/1/2022,4076.57,634096192,656590272
11/30/2022,4080.11,1406250112,658806144
11/29/2022,3957.63,517449984,608172352
11/28/2022,3963.94,602117952,617024896
11/25/2022,4026.12,234910112,627654656
11/23/2022,4027.26,435535392,659736384
11/22/2022,4003.58,541739008,685295552
11/21/2022,3949.94,554670336,692921920
11/18/2022,3965.34,658595072,712397568
11/17/2022,3946.56,560693696,718035328
11/16/2022,3958.79,627011648,736112704
11/15/2022,3991.73,714032384,745026304
11/14/2022,3957.25,673077504,744472256
11/11/2022,3992.93,760721728,744748416
11/10/2022,3956.37,927953216,754180992
11/9/2022,3748.57,667333952,737419328
11/8/2022,3828.11,646743744,734434880
11/7/2022,3806.8,650238144,736563072
11/4/2022,3770.55,761563904,741123392
11/3/2022,3719.89,716136384,739451200
11/2/2022,3759.69,818922176,747751104
11/1/2022,3856.1,656134912,736213952
10/31/2022,3871.98,846805504,740908032
10/28/2022,3901.06,743160640,724724544
10/27/2022,3807.3,831854592,725741632
10/26/2022,3830.6,760715392,713486976
10/25/2022,3859.11,705721792,705495424
10/24/2022,3797.34,677220096,708163712
10/21/2022,3752.75,902210688,714095552
10/20/2022,3665.78,676528320,719490560
10/19/2022,3695.16,622566976,720857664
10/18/2022,3719.98,678666496,728209728
10/17/2022,3677.95,718643392,728232960
10/14/2022,3583.07,736480576,727314944
10/13/2022,3669.91,840635072,726883776
10/12/2022,3577.03,645865088,713379520
10/11/2022,3588.84,726546304,713742016
10/10/2022,3612.39,604053184,705767552
10/7/2022,3639.66,758416448,706125504
10/6/2022,3744.52,648035072,795180608
10/5/2022,3783.28,640842240,797803520
10/4/2022,3790.93,745745600,801158656
10/3/2022,3678.43,766197440,802991168
9/30/2022,3585.62,983136384,790456960
9/29/2022,3640.47,697035072,763304832
9/28/2022,3719.04,732847360,758411520
9/27/2022,3647.29,679015232,750797760
9/26/2022,3655.04,704873408,748682176
9/23/2022,3693.23,730013184,740393728
9/22/2022,3757.99,638070784,734279552
9/21/2022,3789.93,651302720,749149184
9/20/2022,3855.93,606929216,742694592
9/19/2022,3899.89,609422592,735892032
9/16/2022,3873.33,2094243200,737455360
9/15/2022,3901.35,687378048,630892928
9/14/2022,3946.01,691169472,616132352
9/13/2022,3932.69,773233088,600345664
9/12/2022,4110.41,578184448,584538560
9/9/2022,4067.36,575854400,589092672
9/8/2022,4006.18,623635840,581448640
9/7/2022,3979.87,618640704,573048704
9/6/2022,3908.19,647281920,563953088
9/2/2022,3924.26,580546176,551380544
9/1/2022,3966.85,638301056,546583808
8/31/2022,3955,861114688,538904384
8/30/2022,3986.16,554484416,521713504
8/29/2022,4030.61,504890272,519930176
8/26/2022,4057.66,632873088,521768704
8/25/2022,4199.12,495806112,515740160
8/24/2022,4140.77,465969536,521350336
8/23/2022,4128.73,454368800,533831488
8/22/2022,4137.99,536127328,542568704
8/19/2022,4228.48,646495296,547791040
8/18/2022,4283.74,461194144,570703808
8/17/2022,4274.04,497636896,582626240
8/16/2022,4305.2,482206208,594917440
8/15/2022,4297.14,458693984,601084864
8/12/2022,4280.15,508595648,605181376
8/11/2022,4207.27,523109248,610896512
8/10/2022,4210.24,603251520,618283904
8/9/2022,4122.47,527734624,619492288
8/8/2022,4140.06,532468320,628302656
8/5/2022,4145.19,542444672,632375552
8/4/2022,4151.94,579958912,644401856
8/3/2022,4155.17,653186688,644357248
8/2/2022,4091.19,585426944,638203584
8/1/2022,4118.63,614462336,638075648
7/29/2022,4130.29,990186880,630851200
7/28/2022,4072.43,640030656,597139200
7/27/2022,4023.61,682004736,594265728
7/26/2022,3921.05,574718016,589845632
7/25/2022,3966.84,520141280,596195776
7/22/2022,3961.63,594322432,601899648
7/21/2022,3998.95,633920960,618710272
7/20/2022,3959.9,621376448,612229824
7/19/2022,3936.69,659890432,611693632
7/18/2022,3830.85,593561408,608077824
7/15/2022,3863.16,722839296,648731520
7/14/2022,3790.38,579289856,643957120
7/13/2022,3801.78,560881984,654757312
7/12/2022,3818.8,583507712,670378880
7/11/2022,3854.43,506095648,775607424
7/8/2022,3899.38,484507488,801424064
7/7/2022,3902.62,596928128,823676224
7/6/2022,3845.08,615703552,831197568
7/5/2022,3831.39,669970304,846464064
7/1/2022,3825.33,605698752,848589184
6/30/2022,3785.38,846482432,846644160
6/29/2022,3818.83,536713696,823172672
6/28/2022,3821.55,613334208,823657920
6/27/2022,3900.11,605653120,814998144
6/24/2022,3911.74,1203366656,808358080
6/23/2022,3795.73,651222912,765229760
6/22/2022,3759.89,741292736,761067648
6/21/2022,3764.79,795205696,811342272
6/17/2022,3674.84,2161936128,798781632
6/16/2022,3666.77,893345280,698592192
6/15/2022,3789.99,818290176,681652352
6/14/2022,3735.48,709747776,668872192
6/13/2022,3749.63,844701184,663653056
6/10/2022,3900.86,701847232,663649088
6/9/2022,4017.82,576523200,663833600
6/8/2022,4115.77,494409664,674224512
6/7/2022,4160.68,543992448,682922240
6/6/2022,4121.43,483437952,684064768
6/3/2022,4108.54,506051936,695552064
6/2/2022,4176.82,556442432,716928512
6/1/2022,4101.23,588790976,729477376
5/31/2022,4132.15,1495412096,742916032
5/27/2022,4158.24,606795840,696876352
5/26/2022,4057.84,659094336,704178880
5/25/2022,3978.73,639248128,713838656
5/24/2022,3941.48,626587520,721292096
5/23/2022,3973.75,631460928,722438720
5/20/2022,3901.36,844641856,728955712
5/19/2022,3900.79,704614848,734598400
5/18/2022,3923.68,732386432,734103872
5/17/2022,4088.85,624875968,730736768
5/16/2022,4008.01,561129792,735631104
5/13/2022,4023.89,655747840,746401088
5/12/2022,3930.08,826698816,748801408
5/11/2022,3935.18,744675392,738255424
5/10/2022,4001.05,790371072,728639424
5/9/2022,3991.24,804816704,714750720
5/6/2022,4123.34,716333440,695717824
5/5/2022,4146.87,803991488,693968512
5/4/2022,4300.17,751049664,676231744
5/3/2022,4175.48,643786624,663036800
5/2/2022,4155.38,729216064,662893952
4/29/2022,4131.93,929282240,652072384
4/28/2022,4287.5,697196928,632357376
4/27/2022,4183.96,681879104,633049216
4/26/2022,4175.2,698291136,628684096
4/25/2022,4296.12,722679552,620244480
4/22/2022,4271.78,691753344,617474432
4/21/2022,4393.66,668508928,626590912
4/20/2022,4459.45,600434752,618756096
4/19/2022,4462.21,582040512,618303296
4/18/2022,4391.69,519323200,614350592
4/14/2022,4392.59,690094592,613979200
4/13/2022,4446.59,537939712,603798592
4/12/2022,4397.45,553125376,607540032
4/11/2022,4412.53,641643584,614439808
