Date,Last Price,Volume,SMAVG (15)
7/21/2023,3167.745,21627441152,24301277184
7/20/2023,3169.522,22958393344,24552615936
7/19/2023,3198.836,20934637568,24617035776
7/18/2023,3197.82,22674067456,24973350912
7/17/2023,3209.63,24155924480,25297762304
7/14/2023,3237.701,25964148736,25656645632
7/13/2023,3236.48,26365399040,25801926656
7/12/2023,3196.134,25910312960,25933254656
7/11/2023,3221.367,21644191744,26282057728
7/10/2023,3203.696,22571667456,26890330112
7/7/2023,3196.609,24272031744,27358470144
7/6/2023,3205.575,23297708032,27667009536
7/5/2023,3222.947,25175029760,27890671616
7/4/2023,3245.349,26791608320,28210237440
7/3/2023,3243.975,30176591872,28422270976
6/30/2023,3202.062,25397512192,28284606464
6/29/2023,3182.381,23924695040,28238786560
6/28/2023,3189.376,26279378944,28610560000
6/27/2023,3189.443,27540219904,28634703872
6/26/2023,3150.619,29539188736,28676569088
6/21/2023,3197.901,28143364096,28692588544
6/20/2023,3240.365,28335333376,28681525248
6/19/2023,3255.806,31142350848,28730810368
6/16/2023,3273.334,30768285696,28560795648
6/15/2023,3252.975,29593761792,28175308800
6/14/2023,3228.989,28900106240,28007030784
6/13/2023,3233.673,26652649472,27922288640
6/12/2023,3228.834,29968515072,27901743104
6/9/2023,3231.406,29972097024,27646029824
6/8/2023,3213.586,28111624192,27450736640
6/7/2023,3197.759,24710219776,27548680192
6/6/2023,3195.34,29501317120,27721826304
6/5/2023,3232.441,26641524736,27812943872
6/2/2023,3230.069,28168183808,28531881984
6/1/2023,3204.635,29779484672,28883060736
5/31/2023,3204.564,27977422848,29152446464
5/30/2023,3224.213,29074599936,30161018880
5/29/2023,3221.448,28592130048,31950045184
5/26/2023,3212.504,24985987072,33511651328
5/25/2023,3201.26,27069599744,34658635776
5/24/2023,3204.75,27628972032,36006211584
5/23/2023,3246.238,26344478720,36770983936
5/22/2023,3296.469,26132795392,37221261312
5/19/2023,3283.542,27042719744,37793456128
5/18/2023,3297.32,29580769280,38445928448
5/17/2023,3284.232,27307405312,38754873344
5/16/2023,3290.987,30868080640,39400710144
5/15/2023,3310.737,37425602560,39572115456
5/12/2023,3272.362,33435854848,39290667008
5/11/2023,3309.551,33820268544,39286763520
5/10/2023,3319.151,43106013184,39612194816
5/9/2023,3357.671,55909986304,38887059456
5/8/2023,3395.004,52016222208,37378252800
5/5/2023,3334.503,42190790656,36099670016
5/4/2023,3350.459,47283187712,35323289600
4/28/2023,3323.275,39100571648,34304079872
4/27/2023,3285.884,33098653696,33497911296
4/26/2023,3264.101,34715738112,33377630208
4/25/2023,3264.872,36829753344,33533755392
4/24/2023,3275.413,34214959104,33371545600
4/21/2023,3301.258,36994973696,32903448576
4/20/2023,3367.031,33439166464,32343431168
4/19/2023,3370.128,33203886080,31995027456
4/18/2023,3393.331,33377296384,31681284096
4/17/2023,3385.61,38701703168,31627810816
4/14/2023,3338.153,32228974592,31128975360
4/13/2023,3318.364,33277894656,30936596480
4/12/2023,3327.182,32837472256,30579757056
4/11/2023,3313.571,30545119232,30331906048
4/10/2023,3315.358,31995047936,30829115392
4/7/2023,3327.646,27008026624,30900281344
4/6/2023,3312.628,31294429184,31210147840
4/4/2023,3312.558,37057634304,31084853248
4/3/2023,3296.396,34396606464,30671783936
3/31/2023,3272.86,27193491456,30269140992
3/30/2023,3261.249,28594718720,30258204672
3/29/2023,3240.057,28213125120,30042001408
3/28/2023,3245.376,28497723392,29827246080
3/27/2023,3251.397,32575180800,30446761984
3/24/2023,3265.654,31219185664,30471501824
3/23/2023,3286.649,29343305728,30600341504
