Date,Last Price,Volume,SMAVG (15)
7/28/2023,1212.45,251636000,238736080
7/27/2023,1199.68,263444704,232867920
7/26/2023,1201.43,247532304,230275056
7/25/2023,1198.01,253337504,227916096
7/24/2023,1193.14,265150208,221924912
7/21/2023,1186.6,243819008,213598016
7/20/2023,1168.26,218934704,207885680
7/19/2023,1165.19,198669408,207825408
7/18/2023,1166.82,221175008,211577872
7/17/2023,1164.58,238536000,208454480
7/14/2023,1160.59,287043808,208462048
7/13/2023,1156.11,187657600,204783744
7/12/2023,1146.54,223012992,205565616
7/11/2023,1146.67,233519296,203088384
7/10/2023,1143.16,247572704,197249360
7/7/2023,1129.43,163613504,193617712
7/6/2023,1119.44,224551904,204093024
7/5/2023,1129.76,212147696,200545632
7/4/2023,1128,163469792,201790640
7/3/2023,1123.37,140246800,206739200
6/30/2023,1123.13,158134096,209455680
6/29/2023,1125.29,218030592,212163600
6/28/2023,1141.12,254956304,216255520
6/27/2023,1134.41,174324192,217035840
6/26/2023,1131.23,238649504,218642992
6/23/2023,1126.76,231869296,217082880
6/22/2023,1117.6,199385600,219201760
6/21/2023,1112.07,185854592,216765104
6/20/2023,1104.27,145933904,217272640
6/19/2023,1098.94,193097904,218849904
6/16/2023,1109.06,320743104,214874848
6/15/2023,1108.57,171340992,200890064
6/14/2023,1110.6,230823008,198618432
6/13/2023,1115.39,237698000,193600720
6/12/2023,1109.63,180994000,189168400
6/9/2023,1100.85,198752896,186537552
6/8/2023,1092.46,279409504,181457168
6/7/2023,1105.68,266661200,172609360
6/6/2023,1102.32,198431296,165081296
6/5/2023,1091.08,215247808,160290480
6/2/2023,1086.96,263652704,158992288
6/1/2023,1068.09,162835696,152621104
5/31/2023,1066.33,193467504,150373824
5/30/2023,1071.82,169592992,145762464
5/29/2023,1069.77,133472096,141450528
5/26/2023,1060.81,110971200,142390416
5/25/2023,1062.15,137266496,141117376
5/24/2023,1061.55,155557408,140409872
5/23/2023,1068.05,171213104,139378752
5/22/2023,1073.74,141531296,134998400
5/19/2023,1068.84,122547296,133908288
5/18/2023,1070.76,146692192,133822528
5/17/2023,1062.1,153740400,131009528
5/16/2023,1069.64,126568896,130593984
5/15/2023,1070.9,195775104,127718584
5/12/2023,1066.44,168084800,124035864
5/11/2023,1054.93,129126496,120971840
5/10/2023,1054.99,124297104,118827512
5/9/2023,1049.67,104914000,122103264
5/8/2023,1049.72,147570400,125568600
5/5/2023,1038.46,91875600,128832872
5/4/2023,1039.64,126654000,134675600
4/28/2023,1051.43,140090704,139077568
4/27/2023,1041.54,105507800,139015728
4/26/2023,1045.24,125179504,147528976
4/25/2023,1037.04,121260896,152083040
4/24/2023,1046.17,104497200,156122800
4/21/2023,1046.18,147507296,164565184
4/20/2023,1053.61,83437904,167216208
4/19/2023,1056.14,140534208,173802384
4/18/2023,1064.55,122124496,173534992
4/17/2023,1065.02,96961600,177977760
4/14/2023,1063.43,173433408,182386864
4/13/2023,1074.67,156894000,181353920
4/12/2023,1080.69,196534496,178366672
4/11/2023,1081.71,179516400,174512640
4/10/2023,1077.41,192683504,171770480
4/7/2023,1078.88,139163104,168622848
4/6/2023,1078.86,233206592,171457376
4/5/2023,1089.83,193490592,165847264
4/4/2023,1088.34,181857200,165520416
4/3/2023,1088.72,231132896,164621344
3/31/2023,1073.68,187272608,162204160
3/30/2023,1067.24,182230704,158313760
3/29/2023,1061.45,136523392,158449952
3/28/2023,1058.82,188766000,158769840
3/27/2023,1056.45,163098000,155816256
3/24/2023,1051.42,157939392,152733536
3/23/2023,1046.6,112085296,148043168
3/22/2023,1043.14,138724000,146521248
3/21/2023,1035.04,138383808,145067680
3/20/2023,1024.5,145469200,141808192
3/17/2023,1047.71,181680992,141123392
3/16/2023,1046.99,149054800,135399696
3/15/2023,1064.38,188587904,136923072
3/14/2023,1037.35,168371200,136709920
3/13/2023,1050.07,194875200,136333616
3/10/2023,1047.2,128916400,136020592
3/9/2023,1050.28,184273792,135501648
3/8/2023,1040.59,141321696,131365472
3/7/2023,1027.16,144462096,133980280
3/6/2023,1014.26,116857200,131733984
3/3/2023,1013.35,87583904,134395568
3/2/2023,1028.73,89256496,136080752
3/1/2023,1034.43,116920400,139313392
