Date,Last Price,Volume,SMAVG (15)
7/21/2023,1185.9,869415104,745043328
7/20/2023,1172.81,713601088,721752128
7/19/2023,1172.98,776600512,728405440
7/18/2023,1174.09,728185792,726643072
7/17/2023,1173.13,821165888,719420160
7/14/2023,1168.4,938230016,726262656
7/13/2023,1165.42,737022272,718793024
7/12/2023,1154.2,661998208,723440512
7/11/2023,1151.77,813873088,731039680
7/10/2023,1149.02,777436032,715347520
7/7/2023,1138.07,688316928,710023040
7/6/2023,1126.22,841374528,734278592
7/5/2023,1134.62,707125120,722335680
7/4/2023,1132,620947968,730355776
7/3/2023,1125.5,480356992,745857920
6/30/2023,1120.18,520047296,760406144
6/29/2023,1125.39,813401088,780769152
6/28/2023,1138.35,750164608,805800000
6/27/2023,1134.33,619842496,816298752
6/26/2023,1132.03,923803520,826043904
6/23/2023,1129.38,826185472,822896832
6/22/2023,1125.3,806734720,830995264
6/21/2023,1118.46,775985728,830528512
6/20/2023,1111.72,578490112,835326336
6/19/2023,1105.4,697569280,850154304
6/16/2023,1115.22,1052150272,852066304
6/15/2023,1116.97,662230400,820844864
6/14/2023,1117.42,827426304,816732224
6/13/2023,1122.46,853480384,806211776
6/12/2023,1116.02,698580928,792784832
6/9/2023,1107.53,825491712,787579072
6/8/2023,1101.32,1188864256,775757952
6/7/2023,1109.54,907645696,734987200
6/6/2023,1108.31,766019328,723966592
6/5/2023,1097.82,876597888,711685376
6/2/2023,1090.84,947662208,703974464
6/1/2023,1078.39,799732992,685719040
5/31/2023,1075.17,847953280,676926848
5/30/2023,1078.05,800909696,663109504
5/29/2023,1074.98,726248832,642606784
5/26/2023,1063.76,583829120,633059328
5/25/2023,1064.63,600540928,622975744
5/24/2023,1061.79,669619072,620200384
5/23/2023,1065.85,652076224,613198272
5/22/2023,1070.64,620494592,600143488
5/19/2023,1067.07,648175104,586845376
5/18/2023,1068.31,577303488,575370304
5/17/2023,1060.44,742336192,566125888
5/16/2023,1065.91,581801408,550348608
5/15/2023,1065.71,760934208,533131456
5/12/2023,1066.9,673830528,514640608
5/11/2023,1057.12,667850496,502117568
5/10/2023,1058.26,640692480,484181568
5/9/2023,1053.77,493368992,489002944
5/8/2023,1053.44,583037504,495158496
5/5/2023,1040.31,432574496,499608000
5/4/2023,1040.61,558911232,512844064
4/28/2023,1049.12,564587392,527127392
4/27/2023,1039.63,456253792,528891328
4/26/2023,1040.8,421023200,561137088
4/25/2023,1034.85,476049312,579417408
4/24/2023,1041.36,438636800,596182144
4/21/2023,1042.91,505677312,617458688
4/20/2023,1049.25,323543904,621158656
4/19/2023,1048.98,483571808,635850880
4/18/2023,1055.02,485984704,630619200
4/17/2023,1053.81,398810816,636056384
4/14/2023,1052.89,713013120,642707520
4/13/2023,1064.3,585702208,627912064
4/12/2023,1069.45,649779712,612656256
4/11/2023,1069.46,631115520,593821248
4/10/2023,1065.35,773161472,576307200
4/7/2023,1069.71,591046016,555105408
4/6/2023,1070.91,939940608,547569024
4/5/2023,1080.86,695228224,514504576
4/4/2023,1078.45,727520128,503630912
4/3/2023,1079.28,757784576,490724576
3/31/2023,1064.64,561177472,473752480
3/30/2023,1059.44,543927104,465154592
3/29/2023,1056.33,405096608,464541120
3/28/2023,1054.29,567542272,468404832
3/27/2023,1052.25,498578112,457767904
3/24/2023,1046.79,491081088,449439808
3/23/2023,1045.1,356865088,441327200
3/22/2023,1040.54,367254112,437759616
3/21/2023,1032.43,368405600,443318336
3/20/2023,1023.1,455134016,441614080
3/17/2023,1045.14,478000384,442722752
3/16/2023,1047.4,443974016,435581024
3/15/2023,1062.19,532123008,445697024
3/14/2023,1040.13,533925312,459597792
3/13/2023,1052.8,503202912,465900640
3/10/2023,1053,432209312,472343424
3/9/2023,1055.95,534724800,471003680
3/8/2023,1049.18,463052288,461559456
3/7/2023,1037.84,407988288,461914336
3/6/2023,1027.18,373656992,456275232
3/3/2023,1024.77,369392096,469775744
3/2/2023,1037.61,303351104,470759328
3/1/2023,1040.55,450635104,474743264
2/28/2023,1024.68,342841792,474790016
2/27/2023,1021.25,471764000,489377888
2/24/2023,1039.56,370874496,483923360
2/23/2023,1053.66,595713984,491609088
2/22/2023,1054.28,740634624,489588224
2/21/2023,1082.23,628467968,502684384
2/20/2023,1086.69,599844480,502576672
2/17/2023,1059.31,412112992,510036512
2/16/2023,1058.29,393061408,519117760
2/15/2023,1048.2,468375712,529800704
2/14/2023,1038.64,323401696,533930016
