Exchange Date,Close,Open,Low,High,Volume
6/30/2023,1120.18,1125.39,1120.01,1126.33,617526000
6/29/2023,1125.39,1139.42,1125.39,1140.43,906890000
6/28/2023,1138.35,1134.33,1131.86,1140.56,892136000
6/27/2023,1134.33,1132.03,1128.82,1136.49,721995000
6/26/2023,1132.03,1129.38,1119.95,1134,1040389000
6/23/2023,1129.38,1125.3,1122.62,1130.61,906633000
6/22/2023,1125.3,1118.46,1118.46,1127.54,919321000
6/21/2023,1118.46,1112.73,1110.65,1118.46,875892000
6/20/2023,1111.72,1105.4,1102.58,1111.72,695590000
6/19/2023,1105.4,1115.22,1104.73,1117.23,811306000
6/16/2023,1115.22,1116.97,1112.51,1128.92,1166381000
6/15/2023,1116.97,1117.42,1112.11,1120.13,716875000
6/14/2023,1117.42,1122.46,1117.42,1129.49,928596000
6/13/2023,1122.46,1116.02,1116.02,1122.46,943543000
6/12/2023,1116.02,1110.26,1100.08,1116.02,797975000
6/9/2023,1107.53,1101.32,1097.23,1107.53,902209000
6/8/2023,1101.32,1109.54,1101.32,1115.14,1324883000
6/7/2023,1109.54,1108.31,1104.26,1112.28,1000674000
6/6/2023,1108.31,1097.82,1097.82,1108.31,842755000
6/5/2023,1097.82,1090.84,1090.84,1103.81,948361000
6/2/2023,1090.84,1084.19,1083.36,1092.24,1037414000
6/1/2023,1078.39,1075.17,1071.61,1078.39,856813000
5/31/2023,1075.17,1078.05,1071.38,1079.11,924361000
5/30/2023,1078.05,1074.98,1071.01,1079.31,922938000
5/29/2023,1074.98,1063.76,1063.76,1077.18,844876000
5/26/2023,1063.76,1064.63,1063.76,1067.28,640715000
5/25/2023,1064.63,1061.79,1057.91,1065.5,669530000
5/24/2023,1061.79,1065.85,1060.6,1069.61,794095000
5/23/2023,1065.85,1073.12,1062.15,1073.96,721987000
5/22/2023,1070.64,1067.07,1065.88,1070.64,711106000
5/19/2023,1067.07,1068.31,1058.56,1070.15,755489000
5/18/2023,1068.31,1060.44,1060.44,1073.41,649535000
5/17/2023,1060.44,1065.91,1060.44,1069.95,836833000
5/16/2023,1065.91,1065.71,1063.65,1069.27,681377000
5/15/2023,1065.71,1066.9,1065.71,1076.32,834497000
5/12/2023,1066.9,1057.12,1053.97,1066.9,725827000
5/11/2023,1057.12,1058.26,1056.72,1063.69,708310000
5/10/2023,1058.26,1055.62,1053.34,1058.67,717423000
5/9/2023,1053.77,1055.42,1052.68,1058.71,564403000
5/8/2023,1053.44,1040.31,1040.31,1053.44,655533000
5/5/2023,1040.31,1040.61,1036.69,1043.22,547776000
5/4/2023,1040.61,1049.12,1038.18,1049.12,625808000
